,NRGV
% Above Low,0.7679
% Held by Institutions,0.40509999999999996
52-Wk Range,['2.80 - 22.10']
Annual Dividend $,
Annual Dividend %,
Ask,5.2
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,4.71
Bid Size,200.0
Change Since Close,-0.05| |(-1.01%)
Closing Price,4.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.49
Ex-dividend Date,No dividend
Historical Volatility,1.104
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,4.9
Market Cap,684.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.95
Short Interest,0.030299999999999997
Today's Open,
Volume,152.0
Volume 10-day Avg,960349.0
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),15.02422
Price/Book (MRQ),2.272
Price/Cash Flow (TTM),
5yr Low,2.8
5yr High,22.1
5yr Avg Return,-0.23829999999999998
Short Int Current Month,3318023.0
Short Int Prev Month,3485742.0
Short Int Pct of Float,0.0303042
Days to Cover,3.92515
Float,109.4904
Shares Outstanding,138.2683
Institutions Holding Shares,114.0
FCF Growth 5yr,0.3840157322576195
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.010700000000000001
Operating Profit Margin (TTM),-1.5530000000000002
Net Profit Margin (TTM),-1.4877
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.5479000000000003
EPS Growth (TTM),-1.3034000000000001
Revenue Growth (MRQ),0.7339
Revenue Growth (TTM),
Return On Equity (TTM),-0.5572
Return On Assets (TTM),-0.28800000000000003
Return On Investment (TTM),-0.3134
Revenue Per Employee (TTM),624041.0
Total Debt/Total Capital (MRQ),0.0002
Change in Debt/Total Capital Quarter over Quarter,-0.0074
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
