,NRGV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),15.02,12.92,Valuation,1.1625386996904024
Price/Book (MRQ),2.27,9.0,Valuation,0.25222222222222224
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.010700000000000001,0.2968,Profitability,0.036051212938005395
Operating Profit Margin (TTM),-1.5530000000000002,-0.5081,Profitability,3.05648494390868
Net Profit Margin (TTM),-1.4877,-0.706,Profitability,2.1072237960339946
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),-3.5479000000000003,0.5871000000000001,Gowth rates,-6.043093169817748
EPS Growth (TTM),-1.3034000000000001,-1.2397,Gowth rates,1.0513833992094863
Revenue Growth (MRQ),0.7339,0.28940000000000005,Gowth rates,2.5359364201796817
Revenue Growth (TTM),,0.22710000000000002,Gowth rates,
Return On Equity (TTM),-0.5572,0.10210000000000001,Effectiveness,-5.457394711067581
Return On Assets (TTM),-0.28800000000000003,0.0479,Effectiveness,-6.012526096033404
Return On Investment (TTM),-0.3134,0.0575,Effectiveness,-5.450434782608696
Revenue Per Employee (TTM),624041.0,348568.0,Effectiveness,1.7902991668770512
Total Debt/Total Capital (MRQ),0.0002,0.3799,Financial strength,0.0005264543300868649
Change in Debt/Total Capital Quarter over Quarter,-0.0074,0.0017000000000000001,Financial strength,-4.352941176470588
Quick Ratio (MRQ),,1.37,Financial strength,
Interest Coverage (MRQ),,9.61,Financial strength,
