,MTG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.07,10.14,Valuation,0.5
Price/Sales (TTM),3.44,3.47,Valuation,0.9913544668587896
Price/Book (MRQ),0.9,9.31,Valuation,0.09667024704618689
"PEG Ratio (TTM, GAAP)",1.25,4.08,Valuation,0.30637254901960786
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.9570000000000001,0.4806,Profitability,1.9912609238451935
Net Profit Margin (TTM),0.7218000000000001,0.36590000000000006,Profitability,1.9726701284503962
Annual Dividend Yield,0.0294,0.028300000000000002,Dividend,1.0388692579505299
Dividend Change %,0.16670000000000001,0.0643,Dividend,2.5925349922239507
"Dividend Growth Rate, 3 Years",,0.11699999999999999,Dividend,
EPS Growth (MRQ),0.0217,-0.049,Gowth rates,-0.44285714285714284
EPS Growth (TTM),0.5184000000000001,0.024900000000000002,Gowth rates,20.819277108433738
Revenue Growth (MRQ),-0.0011,-0.0564,Gowth rates,0.01950354609929078
Revenue Growth (TTM),-0.0161,-0.10250000000000001,Gowth rates,0.1570731707317073
Return On Equity (TTM),0.1801,0.1595,Effectiveness,1.129153605015674
Return On Assets (TTM),0.1241,0.0533,Effectiveness,2.328330206378987
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),1652111.0,656704.0,Effectiveness,2.5157620480459992
Total Debt/Total Capital (MRQ),0.1274,0.2934,Financial strength,0.4342194955691889
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996,-0.0009,Financial strength,3.8888888888888884
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),32.95,6.57,Financial strength,5.0152207001522076
