,BOX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.24,9.39,Valuation,0.45154419595314166
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7295,0.7206,Profitability,1.0123508187621426
Operating Profit Margin (TTM),-0.008,0.2172,Profitability,-0.03683241252302026
Net Profit Margin (TTM),-0.0232,0.1553,Profitability,-0.1493882807469414
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.6322,-0.0752,Gowth rates,-8.40691489361702
EPS Growth (TTM),-0.1313,-0.2824,Gowth rates,0.46494334277620397
Revenue Growth (MRQ),0.0318,0.15560000000000002,Gowth rates,0.2043701799485861
Revenue Growth (TTM),0.16010000000000002,0.1906,Gowth rates,0.8399790136411334
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.0169,0.10740000000000001,Effectiveness,-0.1573556797020484
Return On Investment (TTM),-0.031400000000000004,0.1387,Effectiveness,-0.2263878875270368
Revenue Per Employee (TTM),433634.0,667721.0,Effectiveness,0.6494239360451446
Total Debt/Total Capital (MRQ),1.2875,0.39659999999999995,Financial strength,3.2463439233484626
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0004,Financial strength,7.249999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),4.82,0.28,Financial strength,17.214285714285715
