,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,39.95,134.84,181.34,,,,,
low,20.0,34.58,93.35,,,,,
change,0.365,2.3562000000000003,0.19219999999999998,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,172.0,410.0,571.0,659.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,379.0,508.0,499.0,724.0,Balance Sheet
Prov. for Doubtful Accts,,,,-2.0,-4.0,-4.0,-7.0,Balance Sheet
"Total Receivables, Net",,,,377.0,504.0,495.0,717.0,Balance Sheet
Invent. - Raw Materials,,,,12.0,12.0,15.0,20.0,Balance Sheet
Inventories - Other,,,,17.0,16.0,28.0,41.0,Balance Sheet
Total Inventory,,,,29.0,28.0,43.0,61.0,Balance Sheet
Prepaid Expenses,,,,6.0,7.0,5.0,13.0,Balance Sheet
Restricted Cash - Current,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,1031.0,3.0,1.0,4.0,Balance Sheet
"Other Curr. Assets, Total",,,,1031.0,3.0,1.0,4.0,Balance Sheet
Total Current Assets,,,,1615.0,952.0,1115.0,1454.0,Balance Sheet
Natural Resources,,,,1394.0,1455.0,1500.0,4880.0,Balance Sheet
Other Prop./Plant/Equip.,,,,65.0,58.0,53.0,102.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,1459.0,1513.0,1553.0,4983.0,Balance Sheet
Accumulated Depreciation,,,,-124.0,-167.0,-207.0,-346.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,1336.0,1350.0,1348.0,4683.0,Balance Sheet
Long Term Investments,,,,,615.0,505.0,138.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,183.0,Balance Sheet
Disct. Ops. - LT Asset,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,75.0,91.0,94.0,96.0,Balance Sheet
Total Assets,,,,3027.0,3008.0,3062.0,6555.0,Balance Sheet
Accounts Payable,,,,2.0,2.0,3.0,33.0,Balance Sheet
Accrued Expenses,,,,161.0,278.0,544.0,498.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Payables,,,,272.0,287.0,344.0,579.0,Balance Sheet
Other Current Liabilities,,,,790.0,334.0,358.0,379.0,Balance Sheet
"Other Curr. Lblts, Total",,,,1062.0,622.0,702.0,958.0,Balance Sheet
Total Current Liabilities,,,,1225.0,901.0,1250.0,1489.0,Balance Sheet
Total Long Term Debt,,,,393.0,393.0,393.0,394.0,Balance Sheet
Total Debt,,,,393.0,393.0,393.0,394.0,Balance Sheet
Deferred Income Tax,,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,189.0,0.0,0.0,0.0,Balance Sheet
Reserves,,,,58.0,59.0,60.0,120.0,Balance Sheet
Other LT Liabilities,,,,130.0,213.0,161.0,82.0,Balance Sheet
"Other Liabilities, Total",,,,187.0,272.0,221.0,202.0,Balance Sheet
Total Liabilities,,,,1994.0,1566.0,1864.0,2084.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,863.0,883.0,884.0,3470.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,270.0,663.0,414.0,1226.0,Balance Sheet
Treasury Stock - Common,,,,-100.0,-104.0,-100.0,-225.0,Balance Sheet
Total Equity,,,,1033.0,1442.0,1198.0,4471.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,3027.0,3008.0,3062.0,6555.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,20.0,2.0,20.0,42.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,1.0,2.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,1580.0,653.0,789.0,1189.0,Income Statement
"Cost of Revenue, Total",,,,661.0,261.0,360.0,373.0,Income Statement
Selling/Gen/Admin Expense,,,,188.0,52.0,52.0,107.0,Income Statement
Labor & Related Expense,,,,15.0,5.0,5.0,31.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,203.0,57.0,57.0,138.0,Income Statement
