,CHRD
% Below High,0.16570000000000001
% Held by Institutions,0.9340999999999999
52-Wk Range,['93.35 - 181.34']
Annual Dividend $,5.0
Annual Dividend %,0.033
Ask,165.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,142.33
Bid Size,100.0
Closing Price,151.3
Day Change $,0.17
Day Change %,0.0011
Day High,154.26
Day Low,150.65
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",34.89
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.539
Last (size),100.0
Last (time),12:59p ET 11/25/22
Market Cap,6.3B
"P/E Ratio (TTM, GAAP)",4.34
Prev Close,151.13
Short Interest,0.0466
Today's Open,152.81
Volume,101309.0
Volume 10-day Avg,398405.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.9166666666666667
Growth 1yr High Est,1.6521739130434785
Growth 1yr Consensus Est,1.2844202898550727
Growth 2yr Low Est,0.4472826086956522
Growth 2yr High Est,0.7321703063143523
Growth 2yr Consensus Est,0.5897264575050023
Growth 5yr Low Est,0.4472826086956522
Growth 5yr High Est,0.7321703063143523
Growth 5yr Consensus Est,0.5897264575050023
Growth 5yr Actual/Est,3.301686619022387
Growth 3yr Historic,2.9423868312757198
Price/Earnings (TTM),4.33695
Price/Sales (TTM),2.01782
Price/Book (MRQ),1.4063
Price/Cash Flow (TTM),4.27333
5yr Low,20.0
5yr High,181.34
5yr Avg Return,0.9711333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.1752515
Dividend Growth 5yr,
Short Int Current Month,1832027.0
Short Int Prev Month,2100871.0
Short Int Pct of Float,0.046581700000000004
Days to Cover,3.86785
Float,39.33979
Shares Outstanding,41.6062
Institutions Holding Shares,404.0
FCF Growth 5yr,1.188689000144145
"Price/Earnings (TTM, GAAP)",4.34
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6167
Operating Profit Margin (TTM),0.4299
Net Profit Margin (TTM),0.38450000000000006
Annual Dividend Yield,0.033
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.5043
EPS Growth (TTM),-0.12369999999999999
Revenue Growth (MRQ),0.506
Revenue Growth (TTM),1.3116999999999999
Return On Equity (TTM),0.45049999999999996
Return On Assets (TTM),0.2511
Return On Investment (TTM),0.3326
Revenue Per Employee (TTM),12234140.0
Total Debt/Total Capital (MRQ),0.081
Change in Debt/Total Capital Quarter over Quarter,-0.0083
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-02-25 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
theStreet since,2022-11-22 00:00:00
newConstructs since,
marketEdge opinion since,
