,RETA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),419.27,18.11,Valuation,23.151297625621204
Price/Book (MRQ),292.15,11.51,Valuation,25.382276281494352
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),-85.7666,-0.8239000000000001,Profitability,104.0983129020512
Net Profit Margin (TTM),-99.0105,-0.8640000000000001,Profitability,114.59548611111109
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),-0.07200000000000001,0.0883,Gowth rates,-0.8154020385050963
EPS Growth (TTM),-0.10470000000000002,0.5870000000000001,Gowth rates,-0.17836456558773425
Revenue Growth (MRQ),-0.2913,0.0441,Gowth rates,-6.605442176870748
Revenue Growth (TTM),-0.7709,0.1761,Gowth rates,-4.377626348665531
Return On Equity (TTM),-2.3938,0.30160000000000003,Effectiveness,-7.937002652519894
Return On Assets (TTM),-0.474,0.092,Effectiveness,-5.1521739130434785
Return On Investment (TTM),-0.5453,0.13820000000000002,Effectiveness,-3.945730824891461
Revenue Per Employee (TTM),9101.16,1425813.0,Effectiveness,0.006383137199618744
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0,Financial strength,-inf
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
