,RETA
% Above Low,1.0644
% Held by Institutions,0.8659
52-Wk Range,['18.47 - 95.34']
Annual Dividend $,
Annual Dividend %,
Ask,38.19
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,38.07
Bid Size,100.0
Day Change $,2.1
Day Change %,0.0583
Day High,39.8
Day Low,36.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.55
Ex-dividend Date,No dividend
Historical Volatility,1.2650000000000001
Last (size),30.0
Last (time),12:34p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,36.03
Price,38.13
Short Interest,0.23879999999999998
Today's Open,36.99
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.03883495145631066
Growth 1yr High Est,0.04574332909783996
Growth 1yr Consensus Est,0.04228914027707531
Growth 2yr Low Est,0.12338943834497773
Growth 2yr High Est,-0.10471035246201565
Growth 2yr Consensus Est,0.009339542941481038
Growth 5yr Low Est,0.12338943834497773
Growth 5yr High Est,-0.10471035246201565
Growth 5yr Consensus Est,0.009339542941481038
Growth 5yr Actual/Est,-0.02150847149893656
Growth 3yr Historic,-0.028818508535489645
Price/Earnings (TTM),
Price/Sales (TTM),419.2667
Price/Book (MRQ),292.1542
Price/Cash Flow (TTM),
5yr Low,18.47
5yr High,257.97
5yr Avg Return,0.5062666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.2543749
Dividend Growth 5yr,
Short Int Current Month,7294363.0
Short Int Prev Month,6632557.0
Short Int Pct of Float,0.2388307
Days to Cover,8.35503
Float,30.56541
Shares Outstanding,36.64366
Institutions Holding Shares,206.0
FCF Growth 5yr,0.18951672993576094
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-85.7666
Net Profit Margin (TTM),-99.0105
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07200000000000001
EPS Growth (TTM),-0.10470000000000002
Revenue Growth (MRQ),-0.2913
Revenue Growth (TTM),-0.7709
Return On Equity (TTM),-2.3938
Return On Assets (TTM),-0.474
Return On Investment (TTM),-0.5453
Revenue Per Employee (TTM),9101.16
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2018-08-09 00:00:00
theStreet since,2018-08-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
