,OWL
% Above Low,0.4351
% Held by Institutions,0.9223
52-Wk Range,['8.06 - 16.95']
Annual Dividend $,0.48
Annual Dividend %,0.040999999999999995
Ask,11.54
Ask Size,700.0
B/A Ratio,0.8571428571428571
B/A Size,600x700
Beta,
Bid,11.54
Bid Size,600.0
Day Change $,-0.15
Day Change %,-0.0128
Day High,11.61
Day Low,11.46
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",-0.03
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.499
Last (size),1.0
Last (time),9:52a ET 11/28/22
Market Cap,5.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.71
Price,11.56
Short Interest,0.0493
Today's Open,11.53
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.6774193548387097
Growth 1yr High Est,0.5142857142857145
Growth 1yr Consensus Est,0.5958525345622121
Growth 2yr Low Est,0.4444789081885856
Growth 2yr High Est,0.46469002695417794
Growth 2yr Consensus Est,0.45458446757138177
Growth 5yr Low Est,0.4444789081885856
Growth 5yr High Est,0.46469002695417794
Growth 5yr Consensus Est,0.45458446757138177
Growth 5yr Actual/Est,0.47906839622641506
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),12.9366
Price/Book (MRQ),9.89578
Price/Cash Flow (TTM),88.72728
5yr Low,8.06
5yr High,17.89
5yr Avg Return,0.05620000000000001
Short Int Current Month,21114817.0
Short Int Prev Month,20110342.0
Short Int Pct of Float,0.0493293
Days to Cover,3.58683
Float,428.2178
Shares Outstanding,1394.996
Institutions Holding Shares,239.0
FCF Growth 5yr,0.684497459245334
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0271
Net Profit Margin (TTM),-0.043899999999999995
Annual Dividend Yield,0.040999999999999995
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.7556000000000003
EPS Growth (TTM),0.9782
Revenue Growth (MRQ),0.13369999999999999
Revenue Growth (TTM),0.9688
Return On Equity (TTM),-0.006999999999999999
Return On Assets (TTM),-0.0068000000000000005
Return On Investment (TTM),-0.0147
Revenue Per Employee (TTM),3607794.0
Total Debt/Total Capital (MRQ),0.21309999999999998
Change in Debt/Total Capital Quarter over Quarter,0.0089
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.23
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2022-08-05 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
