,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,12.07,17.89,15.05,,,,,
low,10.0,9.35,8.06,,,,,
change,0.058600000000000006,0.32770000000000005,-0.2177,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,43.0,186.0,49.0,40.0,Balance Sheet
"Total Receivables, Net",,,,225.0,212.0,282.0,368.0,Balance Sheet
Prepaid Expenses,,,,8.0,4.0,7.0,7.0,Balance Sheet
Total Current Assets,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,10.0,29.0,38.0,52.0,Balance Sheet
Accumulated Depreciation,,,,-2.0,-3.0,-3.0,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,94.0,112.0,120.0,279.0,Balance Sheet
"Goodwill, Net",,,,4132.0,4132.0,4205.0,4205.0,Balance Sheet
Intangibles - Gross,,,,2725.0,,2776.0,2776.0,Balance Sheet
Accum. Intangible Amort.,,,,-114.0,,-240.0,-306.0,Balance Sheet
Intangibles - Net,,,,2611.0,2550.0,2536.0,2470.0,Balance Sheet
Long Term Investments,,,,,16.0,45.0,201.0,Balance Sheet
Deferred Charges,,,,0.0,0.0,,,Balance Sheet
Def. Inc. Tax - LT Asset,,,,636.0,649.0,683.0,733.0,Balance Sheet
Other Assets,,,,517.0,499.0,492.0,490.0,Balance Sheet
"Other Assets, Total",,,,517.0,499.0,492.0,490.0,Balance Sheet
Total Assets,,,,8266.0,8361.0,8419.0,8792.0,Balance Sheet
Payable/Accrued,,,,68.0,86.0,90.0,147.0,Balance Sheet
Accrued Expenses,,,,244.0,183.0,254.0,483.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,,,,,Balance Sheet
Total Long Term Debt,,,,1174.0,1413.0,1413.0,1526.0,Balance Sheet
Total Debt,,,,1174.0,1413.0,1413.0,1526.0,Balance Sheet
Deferred Income Tax,,,,49.0,44.0,50.0,41.0,Balance Sheet
Minority Interest,,,,4184.0,4128.0,4064.0,3980.0,Balance Sheet
"Other Liabilities, Total",,,,883.0,891.0,924.0,959.0,Balance Sheet
Total Liabilities,,,,6603.0,6744.0,6796.0,7138.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,2161.0,2166.0,2214.0,2293.0,Balance Sheet
