,QRTEA
% Above Low,0.4233
% Held by Institutions,0.8397
52-Wk Range,['1.50 - 8.56']
Annual Dividend $,
Annual Dividend %,
Ask,2.14
Ask Size,4500.0
B/A Ratio,1.9333333333333333
B/A Size,8700x4500
Beta,1.7
Bid,2.13
Bid Size,8700.0
Day Change $,-0.135
Day Change %,-0.059500000000000004
Day High,2.31
Day Low,2.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.23
Ex-dividend Date,No dividend
Historical Volatility,0.818
Last (size),102.0
Last (time),12:07p ET 11/28/22
Market Cap,817.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.27
Price,2.14
Short Interest,0.0452
Today's Open,2.27
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8176795580110497
Growth 1yr High Est,-0.775
Growth 1yr Consensus Est,-0.7963397790055249
Growth 2yr Low Est,-0.5452034153691613
Growth 2yr High Est,-0.10972222222222233
Growth 2yr Consensus Est,-0.32746281879569183
Growth 5yr Low Est,-0.27260170768458064
Growth 5yr High Est,-0.054861111111111166
Growth 5yr Consensus Est,-0.16373140939784592
Growth 5yr Actual/Est,-0.05912298701970378
Growth 3yr Historic,0.03195452891330344
Price/Earnings (TTM),
Price/Sales (TTM),0.0727
Price/Book (MRQ),3.69196
Price/Cash Flow (TTM),
5yr Low,1.5
5yr High,29.11
5yr Avg Return,-0.2526666666666666
EPS Growth 5yr,-0.0358534
Revenue Growth 5yr,0.0656546
Dividend Growth 5yr,
Short Int Current Month,15408221.0
Short Int Prev Month,16696949.0
Short Int Pct of Float,0.0452326
Days to Cover,1.43122
Float,341.4038
Shares Outstanding,382.2116
Institutions Holding Shares,377.0
FCF Growth 5yr,-0.40063579244815184
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3261
Operating Profit Margin (TTM),-0.1635
Net Profit Margin (TTM),-0.214
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-14.5676
EPS Growth (TTM),-3.5026
Revenue Growth (MRQ),-0.0708
Revenue Growth (TTM),-0.1245
Return On Equity (TTM),-1.3787
Return On Assets (TTM),-0.1881
Return On Investment (TTM),-0.25379999999999997
Revenue Per Employee (TTM),474099.0
Total Debt/Total Capital (MRQ),0.9537000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),0.55
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,
