,QRTEA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),0.07,7.6,Valuation,0.009210526315789475
Price/Book (MRQ),3.69,10.0,Valuation,0.369
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.3261,0.4335,Profitability,0.7522491349480969
Operating Profit Margin (TTM),-0.1635,0.0117,Profitability,-13.974358974358974
Net Profit Margin (TTM),-0.214,-0.0141,Profitability,15.177304964539006
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-14.5676,-0.26239999999999997,Gowth rates,55.51676829268293
EPS Growth (TTM),-3.5026,-0.6279,Gowth rates,5.5782767956681
Revenue Growth (MRQ),-0.0708,0.1585,Gowth rates,-0.4466876971608833
Revenue Growth (TTM),-0.1245,0.12369999999999999,Gowth rates,-1.0064672594987876
Return On Equity (TTM),-1.3787,0.0635,Effectiveness,-21.711811023622047
Return On Assets (TTM),-0.1881,-0.1317,Effectiveness,1.4282460136674258
Return On Investment (TTM),-0.25379999999999997,0.0197,Effectiveness,-12.883248730964466
Revenue Per Employee (TTM),474099.0,354479.0,Effectiveness,1.3374529943945903
Total Debt/Total Capital (MRQ),0.9537000000000001,0.39840000000000003,Financial strength,2.3938253012048194
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.4575,Financial strength,0.004590163934426229
Quick Ratio (MRQ),0.67,0.68,Financial strength,0.9852941176470588
Interest Coverage (MRQ),0.55,-0.6,Financial strength,-0.9166666666666667
