,TMO
% Above Low,0.1351
% Held by Institutions,0.883
52-Wk Range,['475.77 - 672.34']
Annual Dividend $,1.2
Annual Dividend %,0.0022
Ask,547.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,525.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,540.03
Day Change $,-11.22
Day Change %,-0.0204
Day High,550.0
Day Low,538.16
Dividend Pay Date,2023-01-16 00:00:00
"EPS (TTM, GAAP)",17.79
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.32
Last (size),600.0
Last (time),4:10p ET 11/28/22
Last Trade,540.03
Market Cap,211.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.98
Prev Close,551.25
Short Interest,0.0076
Today's Open,543.3
Volume,1822591.0
Volume 10-day Avg,1326249.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.24534501642935358
Growth 1yr High Est,0.162230035158212
Growth 1yr Consensus Est,0.2037875257937828
Growth 2yr Low Est,0.10442272809154579
Growth 2yr High Est,0.11806402362923563
Growth 2yr Consensus Est,0.11124337586039071
Growth 5yr Low Est,0.17516888038564218
Growth 5yr High Est,0.21109178564337383
Growth 5yr Consensus Est,0.193130333014508
Growth 5yr Actual/Est,0.19827564881148665
Growth 3yr Historic,0.21710448657547865
Price/Earnings (TTM),30.9829
Price/Sales (TTM),4.89501
Price/Book (MRQ),4.96447
Price/Cash Flow (TTM),20.77028
5yr Low,181.51
5yr High,672.34
5yr Avg Return,0.21388333333333331
EPS Growth 5yr,0.3072819
Revenue Growth 5yr,0.164969
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,2975064.0
Short Int Prev Month,2919334.0
Short Int Pct of Float,0.0076041
Days to Cover,1.73017
Float,391.2564
Shares Outstanding,392.1956
Institutions Holding Shares,3043.0
FCF Growth 5yr,0.14076437888524337
"Price/Earnings (TTM, GAAP)",30.98
"PEG Ratio (TTM, GAAP)",6.91
Gross Profit Margin (TTM),0.44420000000000004
Operating Profit Margin (TTM),0.19190000000000002
Net Profit Margin (TTM),0.1629
Annual Dividend Yield,0.0022
Dividend Change %,0.1765
"Dividend Growth Rate, 3 Years",0.1486
EPS Growth (MRQ),-0.1038
EPS Growth (TTM),-0.1741
Revenue Growth (MRQ),-0.0267
Revenue Growth (TTM),0.1308
Return On Equity (TTM),0.171
Return On Assets (TTM),0.0876
Return On Investment (TTM),0.0992
Revenue Per Employee (TTM),339746.0
Total Debt/Total Capital (MRQ),0.4001
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),14.96
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-10 00:00:00
theStreet since,2009-06-10 00:00:00
cfra since,2022-07-29 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
