,TMO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.98,83.95,Valuation,0.3690291840381179
Price/Sales (TTM),4.9,6.06,Valuation,0.8085808580858087
Price/Book (MRQ),4.96,6.22,Valuation,0.797427652733119
"PEG Ratio (TTM, GAAP)",6.91,3.53,Valuation,1.9575070821529748
Gross Profit Margin (TTM),0.44420000000000004,0.5095000000000001,Profitability,0.8718351324828263
Operating Profit Margin (TTM),0.19190000000000002,0.0332,Profitability,5.780120481927711
Net Profit Margin (TTM),0.1629,-0.0454,Profitability,-3.588105726872246
Annual Dividend Yield,0.0022,0.0022,Dividend,1.0
Dividend Change %,0.1765,0.0891,Dividend,1.9809203142536476
"Dividend Growth Rate, 3 Years",0.1486,0.0714,Dividend,2.081232492997199
EPS Growth (MRQ),-0.1038,-0.5094,Gowth rates,0.20376914016489991
EPS Growth (TTM),-0.1741,-0.2377,Gowth rates,0.7324358435002104
Revenue Growth (MRQ),-0.0267,0.1691,Gowth rates,-0.15789473684210528
Revenue Growth (TTM),0.1308,0.1222,Gowth rates,1.0703764320785598
Return On Equity (TTM),0.171,1.1042,Effectiveness,0.15486324941133853
Return On Assets (TTM),0.0876,0.0644,Effectiveness,1.360248447204969
Return On Investment (TTM),0.0992,0.0802,Effectiveness,1.2369077306733167
Revenue Per Employee (TTM),339746.0,335561.0,Effectiveness,1.012471651950018
Total Debt/Total Capital (MRQ),0.4001,0.3893,Financial strength,1.0277421012072951
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0252,Financial strength,0.03571428571428571
Quick Ratio (MRQ),1.22,1.51,Financial strength,0.8079470198675497
Interest Coverage (MRQ),14.96,33.07,Financial strength,0.4523737526459026
