,HON
% Below High,0.0083
% Held by Institutions,0.7201000000000001
52-Wk Range,['166.63 - 221.89']
Annual Dividend $,4.12
Annual Dividend %,0.0187
Ask,220.15
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,218.6
Bid Size,100.0
Closing Price,220.05
Day Change $,1.14
Day Change %,0.0052
Day High,220.96
Day Low,217.74
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",7.82
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.251
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,147.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.15
Prev Close,218.91
Short Interest,0.0097
Today's Open,217.74
Volume,1119900.0
Volume 10-day Avg,2800374.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.09571788413098226
Growth 1yr High Est,0.08641975308641991
Growth 1yr Consensus Est,0.09106881860870109
Growth 2yr Low Est,0.053606068502272786
Growth 2yr High Est,0.15173260381593723
Growth 2yr Consensus Est,0.102669336159105
Growth 5yr Low Est,0.026423845538614377
Growth 5yr High Est,0.07935801317281649
Growth 5yr Consensus Est,0.05289092935571543
Growth 5yr Actual/Est,0.036738115651249265
Growth 3yr Historic,0.0013273267053300064
Price/Earnings (TTM),28.14705
Price/Sales (TTM),4.23461
Price/Book (MRQ),8.35487
Price/Cash Flow (TTM),22.47372
5yr Low,101.08
5yr High,236.86
5yr Avg Return,0.07618333333333333
EPS Growth 5yr,0.049766899999999996
Revenue Growth 5yr,-0.026337199999999998
Dividend Growth 5yr,0.0900215
Short Int Current Month,6534952.0
Short Int Prev Month,5479340.0
Short Int Pct of Float,0.0097322
Days to Cover,1.80027
Float,671.5412
Shares Outstanding,672.3222
Institutions Holding Shares,2630.0
FCF Growth 5yr,-0.4658486090561211
"Price/Earnings (TTM, GAAP)",28.15
"PEG Ratio (TTM, GAAP)",3.8
Gross Profit Margin (TTM),0.3234
Operating Profit Margin (TTM),0.1999
Net Profit Margin (TTM),0.1542
Annual Dividend Yield,0.0187
Dividend Change %,0.0386
"Dividend Growth Rate, 3 Years",0.0726
EPS Growth (MRQ),0.24050000000000002
EPS Growth (TTM),0.005699999999999999
Revenue Growth (MRQ),-0.0002
Revenue Growth (TTM),0.0087
Return On Equity (TTM),0.3024
Return On Assets (TTM),0.0866
Return On Investment (TTM),0.1264
Revenue Per Employee (TTM),352899.0
Total Debt/Total Capital (MRQ),0.48090000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),39.19
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-08-12 00:00:00
researchTeam since,2022-10-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-27 00:00:00
ford since,2020-07-17 00:00:00
marketEdge opinion since,
