,RXDX
% Below High,0.2962
% Held by Institutions,0.7906
52-Wk Range,['21.50 - 63.13']
Annual Dividend $,
Annual Dividend %,
Ask,44.43
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,44.34
Bid Size,200.0
Day Change $,-0.3
Day Change %,-0.0067
Day High,44.65
Day Low,43.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.35
Ex-dividend Date,No dividend
Historical Volatility,0.7220000000000001
Last (size),100.0
Last (time),1:24p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,44.73
Price,44.43
Short Interest,0.1555
Today's Open,44.5
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.008379888268156277
Growth 1yr High Est,0.5391705069124424
Growth 1yr Consensus Est,0.27377519759029934
Growth 2yr Low Est,0.17316501338615575
Growth 2yr High Est,0.19174094207897568
Growth 2yr Consensus Est,0.18245297773256572
Growth 5yr Low Est,0.17316501338615575
Growth 5yr High Est,0.19174094207897568
Growth 5yr Consensus Est,0.18245297773256572
Growth 5yr Actual/Est,0.13049603174603186
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),260.8198
Price/Book (MRQ),8.04924
Price/Cash Flow (TTM),
5yr Low,16.11
5yr High,63.13
5yr Avg Return,0.3558
Short Int Current Month,4890149.0
Short Int Prev Month,4510525.0
Short Int Pct of Float,0.15546010000000002
Days to Cover,8.96837
Float,32.92449
Shares Outstanding,41.94225
Institutions Holding Shares,203.0
FCF Growth 5yr,0.28509756381859974
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-18.6836
Net Profit Margin (TTM),-18.4771
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0547
EPS Growth (TTM),
Revenue Growth (MRQ),-0.2372
Revenue Growth (TTM),
Return On Equity (TTM),-0.5374
Return On Assets (TTM),-0.4524
Return On Investment (TTM),-0.48450000000000004
Revenue Per Employee (TTM),99903.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-05-13 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
