,RXDX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),260.82,45.03,Valuation,5.79213857428381
Price/Book (MRQ),8.05,12.61,Valuation,0.6383822363203807
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-18.6836,-4.7459,Profitability,3.9367875429317936
Net Profit Margin (TTM),-18.4771,-4.5467,Profitability,4.06384850550949
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0547,-0.0014000000000000002,Gowth rates,39.07142857142856
EPS Growth (TTM),,0.027200000000000002,Gowth rates,
Revenue Growth (MRQ),-0.2372,1.3963999999999999,Gowth rates,-0.1698653680893727
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.5374,0.1967,Effectiveness,-2.732079308591764
Return On Assets (TTM),-0.4524,0.0016,Effectiveness,-282.75
Return On Investment (TTM),-0.48450000000000004,0.0219,Effectiveness,-22.12328767123288
Revenue Per Employee (TTM),99903.0,1476201.0,Effectiveness,0.06767574334389423
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
