,STKL
Price/Earnings (TTM),
Price/Sales (TTM),1.19959
Price/Book (MRQ),3.54643
Price/Cash Flow (TTM),47.89181
5yr Low,1.3
5yr High,17.07
5yr Avg Return,0.46033333333333337
EPS Growth 5yr,
Revenue Growth 5yr,-0.09609709999999999
Dividend Growth 5yr,
Short Int Current Month,5789529.0
Short Int Prev Month,4667841.0
Short Int Pct of Float,0.0555599
Days to Cover,3.44131
Float,104.3467
Shares Outstanding,107.8666
Institutions Holding Shares,241.0
% Held by Institutions,0.759128
FCF Growth 5yr,1.123577665727055
