,TTWO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-577.59,Valuation,
Price/Sales (TTM),3.98,6.3,Valuation,0.6317460317460317
Price/Book (MRQ),1.82,7.63,Valuation,0.23853211009174313
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.5688000000000001,0.41159999999999997,Profitability,1.381924198250729
Operating Profit Margin (TTM),-0.0016,0.0672,Profitability,-0.02380952380952381
Net Profit Margin (TTM),-0.0244,0.0336,Profitability,-0.7261904761904763
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-1.0211000000000001,-1.1815,Gowth rates,0.8642403724079561
EPS Growth (TTM),-1.0231999999999999,0.2345,Gowth rates,-4.363326226012793
Revenue Growth (MRQ),0.2641,0.2214,Gowth rates,1.1928635953026197
Revenue Growth (TTM),0.2839,0.44170000000000004,Gowth rates,0.642743943853294
Return On Equity (TTM),-0.016399999999999998,0.1716,Effectiveness,-0.09557109557109555
Return On Assets (TTM),-0.0088,0.0233,Effectiveness,-0.3776824034334764
Return On Investment (TTM),-0.0117,0.027999999999999997,Effectiveness,-0.4178571428571429
Revenue Per Employee (TTM),555091.0,999442.0,Effectiveness,0.5554009137098501
Total Debt/Total Capital (MRQ),0.2583,0.4204,Financial strength,0.6144148430066603
Change in Debt/Total Capital Quarter over Quarter,,0.0014000000000000002,Financial strength,
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),-5.06,-3.12,Financial strength,1.6217948717948716
