,TTWO
% Above Low,0.1251
% Held by Institutions,0.9054000000000001
52-Wk Range,['90.00 - 182.25']
Annual Dividend $,
Annual Dividend %,
Ask,103.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,99.66
Bid Size,200.0
Closing Price,101.26
Day Change $,-1.37
Day Change %,-0.013300000000000001
Day High,103.04
Day Low,100.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.11
Ex-dividend Date,No dividend
Historical Volatility,0.44
Last (size),7.0
Last (time),4:00p ET 11/28/22
Market Cap,17.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,102.63
Short Interest,0.0271
Today's Open,102.39
Volume,1387645.0
Volume 10-day Avg,2146693.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.19730941704035876
Growth 1yr High Est,-0.1869158878504673
Growth 1yr Consensus Est,-0.19211265244541303
Growth 2yr Low Est,-0.023235714106771554
Growth 2yr High Est,0.3145880330862607
Growth 2yr Consensus Est,0.14567615948974458
Growth 5yr Low Est,-0.023235714106771554
Growth 5yr High Est,0.3145880330862607
Growth 5yr Consensus Est,0.14567615948974458
Growth 5yr Actual/Est,0.08798628610657644
Growth 3yr Historic,0.0014597664373699748
Price/Earnings (TTM),
Price/Sales (TTM),3.97844
Price/Book (MRQ),1.82228
Price/Cash Flow (TTM),29.94738
5yr Low,84.41
5yr High,214.91
5yr Avg Return,0.03581666666666667
EPS Growth 5yr,0.3799279
Revenue Growth 5yr,0.1451462
Dividend Growth 5yr,
Short Int Current Month,4468417.0
Short Int Prev Month,4918563.0
Short Int Pct of Float,0.02711
Days to Cover,1.00831
Float,164.8499
Shares Outstanding,167.8191
Institutions Holding Shares,1059.0
FCF Growth 5yr,-0.7723484084645609
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5688000000000001
Operating Profit Margin (TTM),-0.0016
Net Profit Margin (TTM),-0.0244
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0211000000000001
EPS Growth (TTM),-1.0231999999999999
Revenue Growth (MRQ),0.2641
Revenue Growth (TTM),0.2839
Return On Equity (TTM),-0.016399999999999998
Return On Assets (TTM),-0.0088
Return On Investment (TTM),-0.0117
Revenue Per Employee (TTM),555091.0
Total Debt/Total Capital (MRQ),0.2583
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-5.06
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-03-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-18 00:00:00
ford since,2019-12-13 00:00:00
marketEdge opinion since,
