,KNTE
% Above Low,0.36700000000000005
% Held by Institutions,0.9843000000000001
52-Wk Range,['5.75 - 21.68']
Annual Dividend $,
Annual Dividend %,
Ask,7.94
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,6.9
Bid Size,400.0
Closing Price,7.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,0.924
Last (size),14.0
Last (time),1:00p ET 11/25/22
Market Cap,347.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.86
Short Interest,0.0998
Today's Open,
Volume,28645.0
Volume 10-day Avg,136018.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2688679245283019
Growth 1yr High Est,0.2849999999999999
Growth 1yr Consensus Est,0.2769339622641509
Growth 2yr Low Est,0.31844883215262687
Growth 2yr High Est,0.06273346303501948
Growth 2yr Consensus Est,0.19059114759382317
Growth 5yr Low Est,0.31844883215262687
Growth 5yr High Est,0.06273346303501948
Growth 5yr Consensus Est,0.19059114759382317
Growth 5yr Actual/Est,-0.07155290771795626
Growth 3yr Historic,-0.2032828282828283
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.39781
Price/Cash Flow (TTM),
5yr Low,5.75
5yr High,48.75
5yr Avg Return,-0.37089999999999995
Short Int Current Month,3303880.0
Short Int Prev Month,3527346.0
Short Int Pct of Float,0.0998212
Days to Cover,29.87395
Float,43.9363
Shares Outstanding,44.16468
Institutions Holding Shares,119.0
FCF Growth 5yr,0.2678138545329591
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1317
EPS Growth (TTM),-0.42110000000000003
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.3762
Return On Assets (TTM),-0.3221
Return On Investment (TTM),-0.374
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
