,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,48.75,41.0,18.39,,,,,
low,34.14,15.89,5.75,,,,,
change,-0.0055000000000000005,-0.5581,-0.5491,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,33593.0,30998.0,29420.0,26469.0,Balance Sheet
Cash & Equivalents,,,,116096.0,33099.0,35065.0,34502.0,Balance Sheet
Short Term Investments,,,,103362.0,206164.0,197930.0,196477.0,Balance Sheet
Cash and Short Term Invs,,,,253051.0,270261.0,262415.0,257448.0,Balance Sheet
Prepaid Expenses,,,,5639.0,4935.0,4718.0,3727.0,Balance Sheet
Total Current Assets,,,,258690.0,275196.0,267133.0,261175.0,Balance Sheet
Machinery/Equipment,,,,450.0,501.0,511.0,511.0,Balance Sheet
Other Prop./Plant/Equip.,,,,643.0,6886.0,6929.0,6793.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,1093.0,7387.0,7440.0,7304.0,Balance Sheet
Accumulated Depreciation,,,,-137.0,-195.0,-367.0,-552.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,956.0,7192.0,7073.0,6752.0,Balance Sheet
Long Term Investments,,,,105449.0,63131.0,46604.0,31097.0,Balance Sheet
Deferred Charges,,,,641.0,641.0,641.0,641.0,Balance Sheet
Restricted Cash - LT,,,,371.0,371.0,371.0,371.0,Balance Sheet
Other Long Term Assets,,,,757.0,2089.0,2074.0,2097.0,Balance Sheet
Total Assets,,,,366864.0,348620.0,323896.0,302133.0,Balance Sheet
Accounts Payable,,,,3148.0,4419.0,2016.0,3058.0,Balance Sheet
Accrued Expenses,,,,9239.0,9237.0,9448.0,12285.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,12387.0,13656.0,11464.0,15343.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,35000.0,35000.0,35000.0,35000.0,Balance Sheet
"Other Liabilities, Total",,,,,4143.0,3703.0,3449.0,Balance Sheet
Total Liabilities,,,,47387.0,52799.0,50167.0,53792.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,,463089.0,467991.0,473525.0,478696.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-143092.0,-169994.0,-197063.0,-227800.0,Balance Sheet
"Other Equity, Total",,,,-524.0,-2180.0,-2737.0,-2559.0,Balance Sheet
Total Equity,,,,319477.0,295821.0,273729.0,248341.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,366864.0,348620.0,323896.0,302133.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,43856.0,43956.0,44097.0,44165.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,,4248.0,4698.0,4796.0,5087.0,Income Statement
Labor & Related Expense,,,,2482.0,2714.0,2843.0,2737.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,6730.0,7412.0,7639.0,7824.0,Income Statement
Research & Development,,,,19529.0,19647.0,19767.0,23548.0,Income Statement
Total Operating Expense,,,,26259.0,27059.0,27406.0,31372.0,Income Statement
Total Operating Income,,,,-26259.0,-27059.0,-27406.0,-31372.0,Income Statement
"Other, Net",,,,100.0,157.0,337.0,635.0,Income Statement
Income Before Tax,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Income After Tax,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Minority Interest,,,,0.0,0.0,0.0,0.0,Income Statement
Net Inc Before Extra Items,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Total Net Income,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Basic/Primary Weighted Average Shares,,,,43725.0,43883.0,44002.0,44151.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.6,-0.61,-0.62,-0.7,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.6,-0.61,-0.62,-0.7,Income Statement
Diluted Weighted Average Shares,,,,43725.0,43883.0,44002.0,44151.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.6,-0.61,-0.62,-0.7,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.6,-0.61,-0.62,-0.7,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,36.0,58.0,172.0,184.0,Income Statement
Normalzd Income Before Tax,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Normalized Income After Tax,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Normalzd Inc Avail to Common,,,,-26159.0,-26902.0,-27069.0,-30737.0,Income Statement
Basic Normalized EPS,,,,-0.6,-0.61,-0.62,-0.7,Income Statement
Diluted Normalized EPS,,,,-0.6,-0.61,-0.62,-0.7,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-89763.0,-26902.0,-53971.0,-84708.0,Cash Flow
Depreciation/Depletion,,,,123.0,58.0,230.0,414.0,Cash Flow
Unusual Items,,,,58.0,0.0,0.0,0.0,Cash Flow
Other Non-Cash Items,,,,16893.0,5251.0,10510.0,15612.0,Cash Flow
Non-Cash Items,,,,16951.0,5251.0,10510.0,15612.0,Cash Flow
Accounts Receivable,,,,0.0,,,,Cash Flow
Prepaid Expenses,,,,-3053.0,-628.0,-396.0,572.0,Cash Flow
Payable/Accrued,,,,4677.0,516.0,-1759.0,1990.0,Cash Flow
Changes in Working Capital,,,,1624.0,506.0,-1397.0,3396.0,Cash Flow
Total Cash from Operations,,,,-71065.0,-21087.0,-44628.0,-65286.0,Cash Flow
Capital Expenditures,,,,-769.0,-2016.0,-2566.0,-2629.0,Cash Flow
Sale/Maturity of Investment,,,,67337.0,10963.0,53731.0,109314.0,Cash Flow
Purchase of Investments,,,,-247142.0,-73577.0,-92518.0,-131082.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-179805.0,-62614.0,-38787.0,-21768.0,Cash Flow
Total Cash from Investing,,,,-180574.0,-64630.0,-41353.0,-24397.0,Cash Flow
Financing Cash Flow Items,,,,34618.0,,0.0,0.0,Cash Flow
"Common Stock, Net",,,,889.0,,369.0,369.0,Cash Flow
