,RPM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.53,20.13,Valuation,1.2682563338301045
Price/Sales (TTM),1.92,3.27,Valuation,0.5871559633027522
Price/Book (MRQ),6.71,5.58,Valuation,1.2025089605734767
"PEG Ratio (TTM, GAAP)",1.22,0.12,Valuation,10.166666666666666
Gross Profit Margin (TTM),0.3669,0.3453,Profitability,1.0625543006081668
Operating Profit Margin (TTM),0.10060000000000001,0.0535,Profitability,1.880373831775701
Net Profit Margin (TTM),0.07540000000000001,0.0204,Profitability,3.696078431372549
Annual Dividend Yield,0.016200000000000003,0.0188,Dividend,0.8617021276595745
Dividend Change %,0.0541,0.102,Dividend,0.5303921568627451
"Dividend Growth Rate, 3 Years",0.052000000000000005,0.06910000000000001,Dividend,0.7525325615050651
EPS Growth (MRQ),-0.14880000000000002,-0.6111,Gowth rates,0.24349533627884146
EPS Growth (TTM),0.1575,1.725,Gowth rates,0.09130434782608696
Revenue Growth (MRQ),-0.026000000000000002,0.212,Gowth rates,-0.12264150943396228
Revenue Growth (TTM),0.1365,0.23420000000000002,Gowth rates,0.5828351836037575
Return On Equity (TTM),0.2757,0.2206,Effectiveness,1.2497733454215776
Return On Assets (TTM),0.08130000000000001,0.06420000000000001,Effectiveness,1.266355140186916
Return On Investment (TTM),0.1038,0.08410000000000001,Effectiveness,1.2342449464922711
Revenue Per Employee (TTM),417266.0,817013.0,Effectiveness,0.5107213716305615
Total Debt/Total Capital (MRQ),0.5869,0.4105,Financial strength,1.4297198538367843
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.001,Financial strength,0.6
Quick Ratio (MRQ),1.18,1.18,Financial strength,1.0
Interest Coverage (MRQ),8.56,26.2,Financial strength,0.32671755725190843
