,RPM
% Below High,0.0171
% Held by Institutions,0.825
52-Wk Range,['74.56 - 104.00']
Annual Dividend $,1.68
Annual Dividend %,0.016200000000000003
Ask,102.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,102.19
Bid Size,100.0
Day Change $,-1.49
Day Change %,-0.0143
Day High,103.87
Day Low,102.13
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.06
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.28800000000000003
Last (size),163.0
Last (time),1:14p ET 11/28/22
Market Cap,13.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.53
Prev Close,103.71
Price,102.23
Short Interest,0.0155
Today's Open,102.9
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.14560439560439553
Growth 1yr High Est,0.1200923787528867
Growth 1yr Consensus Est,0.13284838717864111
Growth 2yr Low Est,0.15193888844967984
Growth 2yr High Est,0.1188090759743815
Growth 2yr Consensus Est,0.13537398221203067
Growth 5yr Low Est,0.15756978654405257
Growth 5yr High Est,0.16456620603886413
Growth 5yr Consensus Est,0.16106799629145835
Growth 5yr Actual/Est,0.15376090828995376
Growth 3yr Historic,0.05871413806063647
Price/Earnings (TTM),25.52736
Price/Sales (TTM),1.91553
Price/Book (MRQ),6.70765
Price/Cash Flow (TTM),19.67513
5yr Low,42.85
5yr High,104.0
5yr Avg Return,0.12201666666666666
EPS Growth 5yr,0.22679970000000002
Revenue Growth 5yr,0.0623087
Dividend Growth 5yr,0.0628827
Short Int Current Month,1978735.0
Short Int Prev Month,2420051.0
Short Int Pct of Float,0.0155385
Days to Cover,3.56018
Float,127.4987
Shares Outstanding,129.0989
Institutions Holding Shares,732.0
FCF Growth 5yr,-4.818715820733073
"Price/Earnings (TTM, GAAP)",25.53
"PEG Ratio (TTM, GAAP)",1.22
Gross Profit Margin (TTM),0.3669
Operating Profit Margin (TTM),0.10060000000000001
Net Profit Margin (TTM),0.07540000000000001
Annual Dividend Yield,0.016200000000000003
Dividend Change %,0.0541
"Dividend Growth Rate, 3 Years",0.052000000000000005
EPS Growth (MRQ),-0.14880000000000002
EPS Growth (TTM),0.1575
Revenue Growth (MRQ),-0.026000000000000002
Revenue Growth (TTM),0.1365
Return On Equity (TTM),0.2757
Return On Assets (TTM),0.08130000000000001
Return On Investment (TTM),0.1038
Revenue Per Employee (TTM),417266.0
Total Debt/Total Capital (MRQ),0.5869
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),8.56
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-07-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-06 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
