,CDXS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),2.68,6.06,Valuation,0.4422442244224423
Price/Book (MRQ),2.3,6.22,Valuation,0.3697749196141479
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.7259000000000001,0.5095000000000001,Profitability,1.4247301275760549
Operating Profit Margin (TTM),-0.24120000000000003,0.0332,Profitability,-7.265060240963856
Net Profit Margin (TTM),-0.2349,-0.0454,Profitability,5.174008810572687
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-2.7765,-0.5094,Gowth rates,5.45053003533569
EPS Growth (TTM),-1.0027,-0.2377,Gowth rates,4.218342448464451
Revenue Growth (MRQ),-0.10250000000000001,0.1691,Gowth rates,-0.6061502069781195
Revenue Growth (TTM),0.3103,0.1222,Gowth rates,2.5392798690671032
Return On Equity (TTM),-0.1929,1.1042,Effectiveness,-0.17469661293243977
Return On Assets (TTM),-0.13470000000000001,0.0644,Effectiveness,-2.0916149068322984
Return On Investment (TTM),-0.1569,0.0802,Effectiveness,-1.9563591022443894
Revenue Per Employee (TTM),508494.0,335561.0,Effectiveness,1.5153548833148072
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),4.52,1.51,Financial strength,2.9933774834437084
Interest Coverage (MRQ),,33.07,Financial strength,
