,CDXS
% Above Low,0.12480000000000001
% Held by Institutions,0.9131
52-Wk Range,['4.81 - 39.21']
Annual Dividend $,
Annual Dividend %,
Ask,5.99
Ask Size,1000.0
B/A Ratio,0.4
B/A Size,400x1000
Beta,1.5
Bid,5.0
Bid Size,400.0
Closing Price,5.41
Day Change $,-0.03
Day Change %,-0.0055000000000000005
Day High,5.64
Day Low,5.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.48
Ex-dividend Date,No dividend
Historical Volatility,0.991
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,355.4M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.44
Short Interest,0.0783
Today's Open,5.37
Volume,244152.0
Volume 10-day Avg,1300013.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.2000000000000002
Growth 2yr High Est,0.7708333333333333
Growth 2yr Consensus Est,0.9854166666666667
Growth 5yr Low Est,1.2000000000000002
Growth 5yr High Est,0.7708333333333333
Growth 5yr Consensus Est,0.9854166666666667
Growth 5yr Actual/Est,0.6054202741702743
Growth 3yr Historic,0.1824404761904762
Price/Earnings (TTM),
Price/Sales (TTM),2.67763
Price/Book (MRQ),2.30302
Price/Cash Flow (TTM),
5yr Low,4.81
5yr High,42.01
5yr Avg Return,0.20569999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.1648884
Dividend Growth 5yr,
Short Int Current Month,5013595.0
Short Int Prev Month,5138271.0
Short Int Pct of Float,0.0782815
Days to Cover,6.91255
Float,64.00596
Shares Outstanding,65.68701
Institutions Holding Shares,228.0
FCF Growth 5yr,-0.35690454304313207
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7259000000000001
Operating Profit Margin (TTM),-0.24120000000000003
Net Profit Margin (TTM),-0.2349
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.7765
EPS Growth (TTM),-1.0027
Revenue Growth (MRQ),-0.10250000000000001
Revenue Growth (TTM),0.3103
Return On Equity (TTM),-0.1929
Return On Assets (TTM),-0.13470000000000001
Return On Investment (TTM),-0.1569
Revenue Per Employee (TTM),508494.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.52
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-02-25 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-02-25 00:00:00
theStreet since,
