,CRC
Price/Earnings (TTM),3.24748
Price/Sales (TTM),1.27821
Price/Book (MRQ),1.83222
Price/Cash Flow (TTM),2.50462
5yr Low,10.99
5yr High,51.46
5yr Avg Return,0.355
EPS Growth 5yr,0.017602800000000002
Revenue Growth 5yr,0.040754599999999995
Dividend Growth 5yr,
Short Int Current Month,3788933.0
Short Int Prev Month,4201105.0
Short Int Pct of Float,0.0519009
Days to Cover,5.33357
Float,72.90517
Shares Outstanding,73.47093
Institutions Holding Shares,264.0
% Held by Institutions,1.006671
FCF Growth 5yr,0.4601486380491517
