,CRC
% Below High,0.10099999999999999
% Held by Institutions,1.0067
52-Wk Range,['35.95 - 51.46']
Annual Dividend $,1.13
Annual Dividend %,0.024399999999999998
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,37.06
Bid Size,
Closing Price,46.26
Day Change $,1.68
Day Change %,0.0377
Day High,47.33
Day Low,45.3
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",14.24
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.47700000000000004
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",3.25
Prev Close,44.58
Short Interest,0.0519
Today's Open,45.31
Volume,322247.0
Volume 10-day Avg,590411.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.259567387687188
Growth 1yr High Est,-0.11774461028192373
Growth 1yr Consensus Est,-0.18865599898455587
Growth 2yr Low Est,0.06347473312269813
Growth 2yr High Est,0.23906002568610574
Growth 2yr Consensus Est,0.15126737940440194
Growth 5yr Low Est,0.06347473312269813
Growth 5yr High Est,0.23906002568610574
Growth 5yr Consensus Est,0.15126737940440194
Growth 5yr Actual/Est,1.204295742020652
Growth 3yr Historic,1.1190476190476188
Price/Earnings (TTM),3.24748
Price/Sales (TTM),1.27821
Price/Book (MRQ),1.83222
Price/Cash Flow (TTM),2.50462
5yr Low,10.99
5yr High,51.46
5yr Avg Return,0.355
EPS Growth 5yr,0.017602800000000002
Revenue Growth 5yr,0.040754599999999995
Dividend Growth 5yr,
Short Int Current Month,3788933.0
Short Int Prev Month,4201105.0
Short Int Pct of Float,0.0519009
Days to Cover,5.33357
Float,72.90517
Shares Outstanding,73.47093
Institutions Holding Shares,264.0
FCF Growth 5yr,0.4601486380491517
"Price/Earnings (TTM, GAAP)",3.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7112
Operating Profit Margin (TTM),0.38020000000000004
Net Profit Margin (TTM),0.4344
Annual Dividend Yield,0.0244
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3156
EPS Growth (TTM),-0.8303
Revenue Growth (MRQ),0.506
Revenue Growth (TTM),0.7089
Return On Equity (TTM),0.7946
Return On Assets (TTM),0.3152
Return On Investment (TTM),0.4247
Revenue Per Employee (TTM),2741237.0
Total Debt/Total Capital (MRQ),0.2416
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),45.31
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-22 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
theStreet since,2022-08-22 00:00:00
newConstructs since,
marketEdge opinion since,
