,RBLX
% Above Low,0.4388
% Held by Institutions,0.7315
52-Wk Range,['21.65 - 137.71']
Annual Dividend $,
Annual Dividend %,
Ask,31.16
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,31.15
Bid Size,400.0
Day Change $,-0.61
Day Change %,-0.0192
Day High,31.72
Day Low,30.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.31
Ex-dividend Date,No dividend
Historical Volatility,0.9690000000000001
Last (size),175.0
Last (time),12:21p ET 11/28/22
Market Cap,18.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,31.76
Price,31.15
Short Interest,0.0512
Today's Open,31.31
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.39880952380952395
Growth 2yr High Est,-0.6737588652482269
Growth 2yr Consensus Est,-0.1374746707193515
Growth 5yr Low Est,0.39880952380952395
Growth 5yr High Est,-0.6737588652482269
Growth 5yr Consensus Est,-0.1374746707193515
Growth 5yr Actual/Est,0.5826012452425822
Growth 3yr Historic,0.34027777777777785
Price/Earnings (TTM),
Price/Sales (TTM),8.61557
Price/Book (MRQ),45.02139
Price/Cash Flow (TTM),
5yr Low,21.65
5yr High,141.6
5yr Avg Return,-0.04745000000000005
Short Int Current Month,26793938.0
Short Int Prev Month,35331741.0
Short Int Pct of Float,0.051180199999999995
Days to Cover,1.44974
Float,473.6122
Shares Outstanding,600.8161
Institutions Holding Shares,774.0
FCF Growth 5yr,-0.929076303218376
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7484000000000001
Operating Profit Margin (TTM),-0.34380000000000005
Net Profit Margin (TTM),-0.3566
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6769
EPS Growth (TTM),-0.8373999999999999
Revenue Growth (MRQ),-0.1243
Revenue Growth (TTM),0.33390000000000003
Return On Equity (TTM),-1.5288
Return On Assets (TTM),-0.19010000000000002
Return On Investment (TTM),-0.3814
Revenue Per Employee (TTM),1384261.0
Total Debt/Total Capital (MRQ),0.6996
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-12 00:00:00
theStreet since,2022-04-12 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-11 00:00:00
ford since,2022-08-12 00:00:00
marketEdge opinion since,
