,RBLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-577.59,Valuation,
Price/Sales (TTM),8.62,6.3,Valuation,1.3682539682539683
Price/Book (MRQ),45.02,7.63,Valuation,5.900393184796855
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.7484000000000001,0.41159999999999997,Profitability,1.818270165208941
Operating Profit Margin (TTM),-0.34380000000000005,0.0672,Profitability,-5.11607142857143
Net Profit Margin (TTM),-0.3566,0.0336,Profitability,-10.613095238095237
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.6769,-1.1815,Gowth rates,0.5729157850190435
EPS Growth (TTM),-0.8373999999999999,0.2345,Gowth rates,-3.571002132196162
Revenue Growth (MRQ),-0.1243,0.2214,Gowth rates,-0.561427280939476
Revenue Growth (TTM),0.33390000000000003,0.44170000000000004,Gowth rates,0.7559429477020603
Return On Equity (TTM),-1.5288,0.1716,Effectiveness,-8.909090909090908
Return On Assets (TTM),-0.19010000000000002,0.0233,Effectiveness,-8.158798283261802
Return On Investment (TTM),-0.3814,0.027999999999999997,Effectiveness,-13.621428571428574
Revenue Per Employee (TTM),1384261.0,999442.0,Effectiveness,1.3850338488876792
Total Debt/Total Capital (MRQ),0.6996,0.4204,Financial strength,1.6641294005708849
Change in Debt/Total Capital Quarter over Quarter,,0.0014000000000000002,Financial strength,
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),,-3.12,Financial strength,
