,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.73,26.06,,,,,
low,12.69,2.75,,,,,
change,0.0134,-0.8695,,,,,
Date,,,2021-12-31 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,44.0,19.0,25.0,31.0,Balance Sheet
"Trade Accts Recvble, Net",,,61.0,139.0,105.0,103.0,Balance Sheet
Other Receivables,,,4.0,4.0,5.0,6.0,Balance Sheet
"Total Receivables, Net",,,65.0,143.0,110.0,109.0,Balance Sheet
Invent. - Finished Goods,,,32.0,48.0,57.0,70.0,Balance Sheet
Invent. - Raw Materials,,,78.0,92.0,105.0,96.0,Balance Sheet
Total Inventory,,,110.0,140.0,162.0,166.0,Balance Sheet
Prepaid Expenses,,,11.0,12.0,10.0,8.0,Balance Sheet
Total Current Assets,,,229.0,313.0,307.0,314.0,Balance Sheet
Prop./Plant/Equip. - Net,,,64.0,101.0,110.0,123.0,Balance Sheet
"Goodwill, Net",,,129.0,130.0,129.0,128.0,Balance Sheet
Intangibles - Gross,,,380.0,395.0,393.0,393.0,Balance Sheet
Accum. Intangible Amort.,,,-56.0,-63.0,-70.0,-78.0,Balance Sheet
Intangibles - Net,,,338.0,332.0,323.0,315.0,Balance Sheet
Long Term Investments,,,23.0,24.0,25.0,26.0,Balance Sheet
Deferred Charges,,,0.0,,,,Balance Sheet
Def. Inc. Tax - LT Asset,,,11.0,11.0,10.0,8.0,Balance Sheet
Other Long Term Assets,,,1.0,5.0,6.0,6.0,Balance Sheet
Total Assets,,,794.0,915.0,909.0,921.0,Balance Sheet
Accounts Payable,,,39.0,57.0,55.0,42.0,Balance Sheet
Accrued Expenses,,,53.0,64.0,66.0,71.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,17.0,3.0,3.0,3.0,Balance Sheet
Customer Advances,,,6.0,,,,Balance Sheet
Income Taxes Payable,,,1.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,7.0,,,,Balance Sheet
Total Current Liabilities,,,115.0,124.0,124.0,116.0,Balance Sheet
Total Long Term Debt,,,263.0,321.0,310.0,310.0,Balance Sheet
Total Debt,,,280.0,324.0,314.0,313.0,Balance Sheet
Deferred Income Tax,,,56.0,56.0,56.0,56.0,Balance Sheet
"Other Liabilities, Total",,,6.0,33.0,36.0,40.0,Balance Sheet
Total Liabilities,,,441.0,535.0,527.0,522.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,402.0,430.0,432.0,439.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-49.0,-52.0,-47.0,-36.0,Balance Sheet
"Other Equity, Total",,,0.0,2.0,-2.0,-5.0,Balance Sheet
Total Equity,,,354.0,380.0,382.0,398.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,794.0,915.0,909.0,921.0,Balance Sheet
Ttl Comm. Shares Outs.,,,119.0,119.0,118.0,117.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Income Statement
Total Revenue,,,138864.0,191614.0,206800.0,189398.0,Income Statement
"Cost of Revenue, Total",,,96489.0,120960.0,139193.0,130521.0,Income Statement
Selling/Gen/Admin Expense,,,47243.0,45225.0,26515.0,20418.0,Income Statement
Labor & Related Expense,,,,,15289.0,6331.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,47243.0,45225.0,41804.0,26749.0,Income Statement
Depreciation/Amortization,,,6006.0,7192.0,7156.0,7156.0,Income Statement
Unusual Expense (Income),,,,3465.0,0.0,0.0,Income Statement
Total Operating Expense,,,149738.0,176842.0,188153.0,164426.0,Income Statement
Total Operating Income,,,-10874.0,14772.0,18647.0,24972.0,Income Statement
"Inter Expse,Net Non-Operat",,,-3590.0,-1765.0,-3164.0,-4264.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,414.0,542.0,720.0,1329.0,Income Statement
OtherNon-OperatInc (Expnse),,,973.0,-11082.0,-917.0,-1052.0,Income Statement
"Other, Net",,,973.0,-11082.0,-917.0,-1052.0,Income Statement
Income Before Tax,,,-13077.0,2467.0,15286.0,20985.0,Income Statement
Income Tax - Total,,,-7090.0,5307.0,10983.0,9109.0,Income Statement
Income After Tax,,,-5987.0,-2840.0,4303.0,11876.0,Income Statement
Net Inc Before Extra Items,,,-5987.0,-2840.0,4303.0,11876.0,Income Statement
Total Net Income,,,-5987.0,-2840.0,4303.0,11876.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-5987.0,-2840.0,4303.0,11876.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-5987.0,-2840.0,4303.0,11876.0,Income Statement
Basic/Primary Weighted Average Shares,,,112214.0,113699.0,113692.0,113172.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.05,-0.02,0.04,0.1,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.05,-0.02,0.04,0.1,Income Statement
Diluted Weighted Average Shares,,,112214.0,113699.0,115384.0,113203.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.05,-0.02,0.04,0.1,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.05,-0.02,0.04,0.1,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,3590.0,1765.0,3164.0,4264.0,Income Statement
"Depreciat/Amort, Suppl",,,2535.0,2302.0,2624.0,2404.0,Income Statement
Total Special Items,,,2513.0,4060.0,84.0,270.0,Income Statement
Normalzd Income Before Tax,,,-10564.0,6527.0,15370.0,21255.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,880.0,1421.0,29.0,117.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,-6210.0,6728.0,11012.0,9226.0,Income Statement
Normalized Income After Tax,,,-4354.0,-201.0,4358.0,12029.0,Income Statement
Normalzd Inc Avail to Common,,,-4354.0,-201.0,4358.0,12029.0,Income Statement
Basic Normalized EPS,,,-0.04,0.0,0.04,0.11,Income Statement
Diluted Normalized EPS,,,-0.04,0.0,0.04,0.11,Income Statement
Date,,,2021-12-31 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Cash Flow
Net Income,,,-62348.0,-2840.0,1463.0,13339.0,Cash Flow
Depreciation/Depletion,,,32230.0,9494.0,19274.0,28834.0,Cash Flow
Deferred Taxes,,,-12028.0,,,,Cash Flow
Unusual Items,,,-4806.0,3465.0,3465.0,3465.0,Cash Flow
Equity in Net Earnings/Loss,,,-414.0,-542.0,-1262.0,-2591.0,Cash Flow
Other Non-Cash Items,,,135836.0,29015.0,48148.0,62338.0,Cash Flow
Non-Cash Items,,,130616.0,31938.0,50351.0,63212.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,20054.0,578.0,13353.0,20000.0,Cash Flow
"Cash Interest Pd, Suppl",,,17371.0,1628.0,5080.0,8760.0,Cash Flow
Accounts Receivable,,,-25677.0,-78973.0,-47045.0,-46926.0,Cash Flow
