,SWIM
% Above Low,0.2036
% Held by Institutions,0.8587
52-Wk Range,['2.75 - 27.25']
Annual Dividend $,
Annual Dividend %,
Ask,3.32
Ask Size,2800.0
B/A Ratio,0.10714285714285714
B/A Size,300x2800
Beta,
Bid,3.31
Bid Size,300.0
Day Change $,-0.23
Day Change %,-0.065
Day High,3.7
Day Low,3.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.876
Last (size),100.0
Last (time),3:44p ET 11/28/22
Market Cap,387.7M
"P/E Ratio (TTM, GAAP)",55.43
Prev Close,3.54
Price,3.31
Short Interest,0.0235
Today's Open,3.48
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7391304347826086
Growth 2yr High Est,0.3076923076923077
Growth 2yr Consensus Est,-0.21571906354515047
Growth 5yr Low Est,-0.7391304347826086
Growth 5yr High Est,0.3076923076923077
Growth 5yr Consensus Est,-0.21571906354515047
Growth 5yr Actual/Est,-0.3368656716417911
Growth 3yr Historic,0.0
Price/Earnings (TTM),55.42508
Price/Sales (TTM),0.57056
Price/Book (MRQ),1.04164
Price/Cash Flow (TTM),9.26977
5yr Low,2.75
5yr High,34.73
5yr Avg Return,-0.42805
EPS Growth 5yr,
Revenue Growth 5yr,0.2056391
Dividend Growth 5yr,
Short Int Current Month,2134271.0
Short Int Prev Month,2253691.0
Short Int Pct of Float,0.0235053
Days to Cover,2.78026
Float,105.7832
Shares Outstanding,117.1211
Institutions Holding Shares,176.0
FCF Growth 5yr,-3.038708199053687
"Price/Earnings (TTM, GAAP)",55.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3296
Operating Profit Margin (TTM),0.0654
Net Profit Margin (TTM),0.0101
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.8134000000000001
EPS Growth (TTM),1.1175
Revenue Growth (MRQ),-0.08410000000000001
Revenue Growth (TTM),0.2041
Return On Equity (TTM),0.02
Return On Assets (TTM),0.0089
Return On Investment (TTM),0.0103
Revenue Per Employee (TTM),304303.0
Total Debt/Total Capital (MRQ),0.4404
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),8.6
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
theStreet since,2022-08-12 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
