,FCN
Price/Earnings (TTM),27.41908
Price/Sales (TTM),2.03611
Price/Book (MRQ),3.62831
Price/Cash Flow (TTM),21.97347
5yr Low,39.57
5yr High,190.43
5yr Avg Return,0.29463333333333336
EPS Growth 5yr,0.26528199999999996
Revenue Growth 5yr,0.08927170000000001
Dividend Growth 5yr,
Short Int Current Month,2366872.0
Short Int Prev Month,2082950.0
Short Int Pct of Float,0.0705114
Days to Cover,7.26297
Float,33.57323
Shares Outstanding,34.42311
Institutions Holding Shares,459.0
% Held by Institutions,1.039045
FCF Growth 5yr,-0.8159375437959279
