,PCTY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",134.75,54.08,Valuation,2.4916789940828403
Price/Sales (TTM),12.96,9.39,Valuation,1.3801916932907348
Price/Book (MRQ),19.6,12.63,Valuation,1.5518606492478226
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6664,0.7206,Profitability,0.9247849014709963
Operating Profit Margin (TTM),0.08810000000000001,0.2172,Profitability,0.40561694290976064
Net Profit Margin (TTM),0.0976,0.1553,Profitability,0.6284610431423053
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.9971,-0.0752,Gowth rates,-13.259308510638297
EPS Growth (TTM),0.0086,-0.2824,Gowth rates,-0.030453257790368275
Revenue Growth (MRQ),0.1063,0.15560000000000002,Gowth rates,0.6831619537275064
Revenue Growth (TTM),0.3561,0.1906,Gowth rates,1.868310598111228
Return On Equity (TTM),0.1673,0.2189,Effectiveness,0.7642759250799451
Return On Assets (TTM),0.026099999999999998,0.10740000000000001,Effectiveness,0.24301675977653628
Return On Investment (TTM),0.1477,0.1387,Effectiveness,1.0648882480173036
Revenue Per Employee (TTM),174384.0,667721.0,Effectiveness,0.26116297076174033
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
