,2017,2018,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,48.59,88.47,122.65,218.34,314.5,276.88,,,,,
low,44.11,41.15,56.7,66.98,154.26,152.01,,,,,
change,-0.0023,0.27,1.0516,0.6970000000000001,0.1486,-0.08650000000000001,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,84.0,96.0,140.0,65.0,Balance Sheet
Short Term Investments,,,,,,,0.0,0.0,0.0,,Balance Sheet
Cash and Short Term Invs,,,,,,,84.0,96.0,140.0,65.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,11.0,19.0,17.0,23.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,,,60.0,73.0,75.0,86.0,Balance Sheet
Prepaid Expenses,,,,,,,23.0,23.0,29.0,29.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,1920.0,4325.0,3988.0,2299.0,Balance Sheet
Total Current Assets,,,,,,,2087.0,4517.0,4232.0,2480.0,Balance Sheet
Buildings,,,,,,,47.0,47.0,48.0,48.0,Balance Sheet
Machinery/Equipment,,,,,,,58.0,62.0,64.0,65.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,74.0,74.0,73.0,72.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,180.0,184.0,185.0,184.0,Balance Sheet
Accumulated Depreciation,,,,,,,-68.0,-69.0,-73.0,-76.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,112.0,115.0,112.0,109.0,Balance Sheet
"Goodwill, Net",,,,,,,68.0,102.0,102.0,102.0,Balance Sheet
Intangibles - Gross,,,,,,,224.0,251.0,262.0,273.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-136.0,-145.0,-154.0,-164.0,Balance Sheet
Intangibles - Net,,,,,,,88.0,106.0,107.0,109.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,191.0,210.0,229.0,245.0,Balance Sheet
Deferred Charges,,,,,,,7.0,8.0,8.0,8.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,35.0,22.0,19.0,43.0,Balance Sheet
Total Assets,,,,,,,2589.0,5079.0,4809.0,3095.0,Balance Sheet
Accounts Payable,,,,,,,7.0,5.0,8.0,6.0,Balance Sheet
Accrued Expenses,,,,,,,68.0,94.0,111.0,89.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,12.0,14.0,14.0,17.0,Balance Sheet
Other Current Liabilities,,,,,,,1920.0,4325.0,3988.0,2299.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,1932.0,4339.0,4001.0,2316.0,Balance Sheet
Total Current Liabilities,,,,,,,2006.0,4438.0,4121.0,2412.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
"Other Liabilities, Total",,,,,,,74.0,74.0,73.0,70.0,Balance Sheet
Total Liabilities,,,,,,,2082.0,4514.0,4196.0,2484.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,231.0,256.0,290.0,259.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,276.0,311.0,326.0,356.0,Balance Sheet
"Other Equity, Total",,,,,,,0.0,-2.0,-2.0,-5.0,Balance Sheet
Total Equity,,,,,,,507.0,565.0,613.0,611.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2589.0,5079.0,4809.0,3095.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,55.0,55.0,55.0,56.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,196037.0,245970.0,228947.0,253280.0,Income Statement
"Cost of Revenue, Total",,,,,,,70821.0,75538.0,77394.0,84543.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,74280.0,80780.0,85333.0,94585.0,Income Statement
Labor & Related Expense,,,,,,,17520.0,16604.0,18510.0,26970.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,91800.0,97384.0,103843.0,121555.0,Income Statement
Research & Development,,,,,,,25278.0,25670.0,28884.0,40093.0,Income Statement
Total Operating Expense,,,,,,,187899.0,198592.0,210121.0,246191.0,Income Statement
Total Operating Income,,,,,,,8138.0,47378.0,18826.0,7089.0,Income Statement
"Other, Net",,,,,,,-372.0,-311.0,-197.0,-163.0,Income Statement
Income Before Tax,,,,,,,7766.0,47067.0,18629.0,6926.0,Income Statement
Income Tax - Total,,,,,,,-2087.0,12221.0,3483.0,-23426.0,Income Statement
Income After Tax,,,,,,,9853.0,34846.0,15146.0,30352.0,Income Statement
Net Inc Before Extra Items,,,,,,,9853.0,34846.0,15146.0,30352.0,Income Statement
Total Net Income,,,,,,,9853.0,34846.0,15146.0,30352.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,9853.0,34846.0,15146.0,30352.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,9853.0,34846.0,15146.0,30352.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,55067.0,55114.0,55156.0,55453.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.18,0.63,0.27,0.55,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.18,0.63,0.27,0.55,Income Statement
Diluted Weighted Average Shares,,,,,,,56468.0,56367.0,56469.0,56664.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.17,0.62,0.27,0.54,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.17,0.62,0.27,0.54,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,,3974.0,4098.0,4285.0,4454.0,Income Statement
Total Special Items,,,,,,,208.0,806.0,561.0,265.0,Income Statement
Normalzd Income Before Tax,,,,,,,7974.0,47873.0,19190.0,7191.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,73.0,209.0,105.0,93.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,-2014.0,12430.0,3588.0,-23333.0,Income Statement
Normalized Income After Tax,,,,,,,9988.0,35443.0,15602.0,30524.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,9988.0,35443.0,15602.0,30524.0,Income Statement
Basic Normalized EPS,,,,,,,0.18,0.64,0.28,0.55,Income Statement
Diluted Normalized EPS,,,,,,,0.18,0.63,0.28,0.54,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,41.0,76.0,91.0,30.0,Cash Flow
Depreciation/Depletion,,,,,,,23.0,36.0,50.0,14.0,Cash Flow
Deferred Taxes,,,,,,,-23.0,-11.0,-7.0,-23.0,Cash Flow
Unusual Items,,,,,,,0.0,0.0,0.0,0.0,Cash Flow
Other Non-Cash Items,,,,,,,46.0,71.0,97.0,39.0,Cash Flow
Non-Cash Items,,,,,,,46.0,71.0,97.0,39.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,0.0,0.0,0.0,0.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,0.0,0.0,0.0,0.0,Cash Flow
Accounts Receivable,,,,,,,-28.0,-59.0,-81.0,-25.0,Cash Flow
Prepaid Expenses,,,,,,,-10.0,-9.0,-15.0,1.0,Cash Flow
Accounts Payable,,,,,,,1.0,0.0,3.0,-2.0,Cash Flow
Accrued Expenses,,,,,,,-25.0,1.0,17.0,-18.0,Cash Flow
Changes in Working Capital,,,,,,,-61.0,-67.0,-76.0,-44.0,Cash Flow
Total Cash from Operations,,,,,,,27.0,105.0,155.0,16.0,Cash Flow
Purchase of Fixed Assets,,,,,,,-11.0,-15.0,-18.0,-3.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,,-18.0,-26.0,-35.0,-10.0,Cash Flow
Capital Expenditures,,,,,,,-28.0,-42.0,-53.0,-13.0,Cash Flow
Acquisition of Business,,,,,,,-60.0,-108.0,-108.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,,60.0,86.0,117.0,43.0,Cash Flow
Purchase of Investments,,,,,,,-190.0,-216.0,-434.0,-119.0,Cash Flow
Other Investing Cash Flow,,,,,,,,-3.0,-3.0,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-190.0,-240.0,-427.0,-76.0,Cash Flow
Total Cash from Investing,,,,,,,-218.0,-281.0,-480.0,-89.0,Cash Flow
Financing Cash Flow Items,,,,,,,100.0,2503.0,2172.0,-1763.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,,0.0,0.0,,Cash Flow
Long Term Debt Issued,,,,,,,,50.0,50.0,,Cash Flow
Long Term Debt Reduction,,,,,,,,-50.0,-50.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,,0.0,0.0,,Cash Flow
Total Cash From Financing,,,,,,,100.0,2503.0,2172.0,-1763.0,Cash Flow
Net Change in Cash,,,,,,,-91.0,2327.0,1848.0,-1836.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,1946.0,1946.0,1946.0,3793.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,1855.0,4273.0,3793.0,1957.0,Cash Flow
"Depreciation, Supplemental",,,,,,,23.0,36.0,50.0,14.0,Cash Flow
Free Cash Flow,,,,,,,-1.0,63.0,102.0,3.0,
FCF Growth,,,,,,,,-64.0,0.6190476190476191,-0.9705882352941176,
