,PCTY
% Above Low,0.4025
% Held by Institutions,0.7434000000000001
52-Wk Range,['152.01 - 276.88']
Annual Dividend $,
Annual Dividend %,
Ask,213.61
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,212.85
Bid Size,200.0
Day Change $,-1.94
Day Change %,-0.009000000000000001
Day High,217.51
Day Low,212.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.6
Ex-dividend Date,No dividend
Historical Volatility,0.552
Last (size),100.0
Last (time),10:19a ET 11/28/22
Market Cap,11.8B
"P/E Ratio (TTM, GAAP)",134.75
Prev Close,215.14
Price,213.2
Short Interest,0.0409
Today's Open,214.05
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.13989637305699487
Growth 2yr High Est,0.2702127659574467
Growth 2yr Consensus Est,0.20505456950722079
Growth 5yr Low Est,0.13989637305699487
Growth 5yr High Est,0.2702127659574467
Growth 5yr Consensus Est,0.20505456950722079
Growth 5yr Actual/Est,0.2803041803444223
Growth 3yr Historic,0.16715665154471954
Price/Earnings (TTM),134.7522
Price/Sales (TTM),12.95958
Price/Book (MRQ),19.60486
Price/Cash Flow (TTM),85.19643
5yr Low,41.15
5yr High,314.5
5yr Avg Return,0.3464
EPS Growth 5yr,0.6687448
Revenue Growth 5yr,0.2323303
Dividend Growth 5yr,
Short Int Current Month,1688962.0
Short Int Prev Month,1718490.0
Short Int Pct of Float,0.0409488
Days to Cover,2.70037
Float,40.8428
Shares Outstanding,55.67389
Institutions Holding Shares,509.0
FCF Growth 5yr,-21.450513538748833
"Price/Earnings (TTM, GAAP)",134.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6664
Operating Profit Margin (TTM),0.08810000000000001
Net Profit Margin (TTM),0.0976
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9971
EPS Growth (TTM),0.0086
Revenue Growth (MRQ),0.1063
Revenue Growth (TTM),0.3561
Return On Equity (TTM),0.1673
Return On Assets (TTM),0.026099999999999998
Return On Investment (TTM),0.1477
Revenue Per Employee (TTM),174384.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2020-10-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
