,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,28.7,17.41,,,,,
low,15.91,7.38,,,,,
change,-0.1881,-0.14220000000000002,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,18939.0,18445.0,10673.0,12922.0,Balance Sheet
Cash & Equivalents,,,345679.0,344061.0,327272.0,242017.0,Balance Sheet
Short Term Investments,,,,,11949.0,86584.0,Balance Sheet
Cash and Short Term Invs,,,364618.0,362506.0,349894.0,341523.0,Balance Sheet
"Trade Accts Recvble, Net",,,29760.0,30406.0,36811.0,39636.0,Balance Sheet
Other Receivables,,,-127.0,9.0,372.0,372.0,Balance Sheet
"Total Receivables, Net",,,29633.0,30415.0,37183.0,40008.0,Balance Sheet
Invent. - Finished Goods,,,12614.0,15298.0,17042.0,15459.0,Balance Sheet
Invent. - Work In Progress,,,2297.0,1507.0,2475.0,5409.0,Balance Sheet
Invent. - Raw Materials,,,17260.0,21177.0,25828.0,28501.0,Balance Sheet
Total Inventory,,,32171.0,37982.0,45345.0,49369.0,Balance Sheet
Prepaid Expenses,,,4603.0,6533.0,9353.0,11164.0,Balance Sheet
Restricted Cash - Current,,,0.0,,,,Balance Sheet
Other Current Assets,,,708.0,1676.0,1495.0,1795.0,Balance Sheet
"Other Curr. Assets, Total",,,708.0,1676.0,1495.0,1795.0,Balance Sheet
Total Current Assets,,,431733.0,439112.0,443270.0,443859.0,Balance Sheet
Buildings,,,3021.0,3382.0,3180.0,3343.0,Balance Sheet
Machinery/Equipment,,,3083.0,3657.0,4471.0,5095.0,Balance Sheet
Construction in Progress,,,344.0,163.0,225.0,228.0,Balance Sheet
Other Prop./Plant/Equip.,,,1263.0,15343.0,15366.0,16233.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,7711.0,22545.0,23242.0,24899.0,Balance Sheet
Accumulated Depreciation,,,-1860.0,-2202.0,-2267.0,-2639.0,Balance Sheet
Prop./Plant/Equip. - Net,,,5851.0,20343.0,20975.0,22260.0,Balance Sheet
"Goodwill, Net",,,10144.0,10144.0,10144.0,10144.0,Balance Sheet
Intangibles - Gross,,,5563.0,5605.0,5604.0,5671.0,Balance Sheet
Accum. Intangible Amort.,,,-824.0,-1277.0,-1745.0,-1186.0,Balance Sheet
Intangibles - Net,,,4739.0,4328.0,3859.0,4485.0,Balance Sheet
Other Long Term Assets,,,1665.0,1264.0,2880.0,4559.0,Balance Sheet
Total Assets,,,463305.0,485879.0,492817.0,499295.0,Balance Sheet
Accounts Payable,,,3034.0,5971.0,6749.0,5640.0,Balance Sheet
Accrued Expenses,,,16654.0,18175.0,21661.0,19199.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,8099.0,13418.0,10727.0,13122.0,Balance Sheet
Income Taxes Payable,,,2476.0,2741.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,2918.0,2498.0,3213.0,3533.0,Balance Sheet
"Other Curr. Lblts, Total",,,13493.0,18657.0,13940.0,16655.0,Balance Sheet
Total Current Liabilities,,,33181.0,42803.0,42350.0,41494.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,343.0,206.0,102.0,62.0,Balance Sheet
"Other Liabilities, Total",,,24739.0,35634.0,39338.0,41292.0,Balance Sheet
Total Liabilities,,,58263.0,78643.0,81790.0,82848.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,,,Balance Sheet
Common Stock,,,126.0,134.0,135.0,135.0,Balance Sheet
Additional Paid-In Capital,,,423625.0,427818.0,432889.0,437401.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-19606.0,-21627.0,-22225.0,-20559.0,Balance Sheet
"Other Equity, Total",,,897.0,911.0,228.0,-530.0,Balance Sheet
Total Equity,,,405042.0,407236.0,411027.0,416447.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,463305.0,485879.0,492817.0,499295.0,Balance Sheet
Ttl Comm. Shares Outs.,,,133750.0,134243.0,134602.0,134849.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,0.0,0.0,,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,38894.0,35064.0,40159.0,40477.0,Income Statement
"Cost of Revenue, Total",,,15258.0,14887.0,15598.0,13615.0,Income Statement
Selling/Gen/Admin Expense,,,13827.0,12644.0,14918.0,14500.0,Income Statement
Labor & Related Expense,,,1416.0,1865.0,2098.0,2352.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,15243.0,14509.0,17016.0,16852.0,Income Statement
Research & Development,,,7076.0,8025.0,8436.0,8650.0,Income Statement
Total Operating Expense,,,37577.0,37421.0,41050.0,39117.0,Income Statement
Total Operating Income,,,1317.0,-2357.0,-891.0,1360.0,Income Statement
"Inter Expse,Net Non-Operat",,,-492.0,-590.0,-647.0,-649.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,18.0,18.0,391.0,1584.0,Income Statement
OtherNon-OperatInc (Expnse),,,-399.0,-374.0,-254.0,-445.0,Income Statement
"Other, Net",,,-399.0,-374.0,-254.0,-445.0,Income Statement
Income Before Tax,,,444.0,-3303.0,-1401.0,1850.0,Income Statement
Income Tax - Total,,,1609.0,-1145.0,-699.0,224.0,Income Statement
Income After Tax,,,-1165.0,-2158.0,-702.0,1626.0,Income Statement
Minority Interest,,,-26.0,137.0,104.0,40.0,Income Statement
Net Inc Before Extra Items,,,-1191.0,-2021.0,-598.0,1666.0,Income Statement
Total Net Income,,,-1191.0,-2021.0,-598.0,1666.0,Income Statement
Preferred Dividends,,,,,,0.0,Income Statement
Misc Earnings Adjustment,,,1191.0,,,,Income Statement
Total Adjust to Net Income,,,1191.0,,,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,0.0,-2021.0,-598.0,1666.0,Income Statement
Income Available to Common Incl. Extra. Items,,,0.0,-2021.0,-598.0,1666.0,Income Statement
Basic/Primary Weighted Average Shares,,,134365.0,133903.0,134403.0,134712.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.0,-0.02,0.0,0.01,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.0,-0.02,0.0,0.01,Income Statement
Diluted Weighted Average Shares,,,139885.0,133903.0,134403.0,138709.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.0,-0.02,0.0,0.01,Income Statement
Diluted EPS Incl. Extra. Items,,,0.0,-0.02,0.0,0.01,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,492.0,590.0,647.0,649.0,Income Statement
"Depreciat/Amort, Suppl",,,355.0,341.0,398.0,444.0,Income Statement
Normalzd Income Before Tax,,,444.0,-3303.0,-1401.0,1850.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,1609.0,-1145.0,-699.0,224.0,Income Statement
Normalized Income After Tax,,,-1165.0,-2158.0,-702.0,1626.0,Income Statement
Normalzd Inc Avail to Common,,,0.0,-2021.0,-598.0,1666.0,Income Statement
Basic Normalized EPS,,,0.0,-0.02,0.0,0.01,Income Statement
Diluted Normalized EPS,,,0.0,-0.02,0.0,0.01,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,3027.0,-2158.0,-2860.0,-1234.0,Cash Flow
Depreciation/Depletion,,,1242.0,794.0,1659.0,1731.0,Cash Flow
Equity in Net Earnings/Loss,,,-40.0,0.0,0.0,0.0,Cash Flow
Other Non-Cash Items,,,8764.0,5085.0,10470.0,16267.0,Cash Flow
Non-Cash Items,,,8724.0,5085.0,10470.0,16267.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,2863.0,75.0,7657.0,9930.0,Cash Flow
Accounts Receivable,,,-12367.0,-1038.0,-7964.0,-11780.0,Cash Flow
Inventories,,,-7068.0,-5921.0,-14355.0,-19537.0,Cash Flow
Prepaid Expenses,,,-6252.0,-4351.0,-8664.0,-15035.0,Cash Flow
Accounts Payable,,,-256.0,2782.0,3677.0,2770.0,Cash Flow
Accrued Expenses,,,11261.0,264.0,1986.0,1420.0,Cash Flow
Changes in Working Capital,,,-8363.0,-5201.0,-20189.0,-35188.0,Cash Flow
Total Cash from Operations,,,4630.0,-1480.0,-10920.0,-18424.0,Cash Flow
Purchase of Fixed Assets,,,-4364.0,-780.0,-2108.0,-3218.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-40.0,Cash Flow
Capital Expenditures,,,-4364.0,-780.0,-2108.0,-3258.0,Cash Flow
Acquisition of Business,,,-17000.0,,,,Cash Flow
Sale of Business,,,371.0,0.0,0.0,0.0,Cash Flow
Purchase of Investments,,,,,-1587.0,-1587.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-16629.0,0.0,-1587.0,-1587.0,Cash Flow
Total Cash from Investing,,,-20993.0,-780.0,-3695.0,-4845.0,Cash Flow
Financing Cash Flow Items,,,,,-67.0,-138.0,Cash Flow
"Common Stock, Net",,,215689.0,,,0.0,Cash Flow
"Preferred Stock, Net",,,0.0,,,,Cash Flow
Options Exercised,,,642.0,364.0,1575.0,1801.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,216331.0,364.0,1575.0,1801.0,Cash Flow
Short Term Debt Issued,,,0.0,,,,Cash Flow
Short Term Debt Reduction,,,-2772.0,,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,-2772.0,,0.0,0.0,Cash Flow
Total Cash From Financing,,,213559.0,364.0,1508.0,1663.0,Cash Flow
Foreign Exchange Effects,,,1303.0,-216.0,-1617.0,-1489.0,Cash Flow
Net Change in Cash,,,198499.0,-2112.0,-14724.0,-23095.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,166119.0,364618.0,364618.0,364618.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,364618.0,362506.0,349894.0,341523.0,Cash Flow
"Depreciation, Supplemental",,,1242.0,794.0,1659.0,1731.0,Cash Flow
Free Cash Flow,,,266.0,-2260.0,-13028.0,-21682.0,
FCF Growth,,,,-9.496240601503759,4.764601769911504,0.6642615904206324,
