,CTKB
% Below High,0.3014
% Held by Institutions,0.5232
52-Wk Range,['7.38 - 20.47']
Annual Dividend $,
Annual Dividend %,
Ask,14.3
Ask Size,1700.0
B/A Ratio,0.058823529411764705
B/A Size,100x1700
Beta,
Bid,7.0
Bid Size,100.0
Closing Price,14.3
Day Change $,-0.08
Day Change %,-0.005600000000000001
Day High,14.49
Day Low,14.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.01
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),54.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.38
Short Interest,0.0263
Today's Open,14.38
Volume,196368.0
Volume 10-day Avg,573600.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2142857142857143
Growth 2yr High Est,0.625
Growth 2yr Consensus Est,0.20535714285714285
Growth 5yr Low Est,-0.2142857142857143
Growth 5yr High Est,0.625
Growth 5yr Consensus Est,0.20535714285714285
Growth 5yr Actual/Est,0.40000000000000013
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),12.47398
Price/Book (MRQ),4.63046
Price/Cash Flow (TTM),3336.337
5yr Low,7.38
5yr High,28.7
5yr Avg Return,-0.16515000000000002
Short Int Current Month,2772101.0
Short Int Prev Month,3250708.0
Short Int Pct of Float,0.026257600000000002
Days to Cover,5.62808
Float,111.5448
Shares Outstanding,134.8534
Institutions Holding Shares,120.0
FCF Growth 5yr,-1.3557924137238742
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.616
Operating Profit Margin (TTM),-0.0037
Net Profit Margin (TTM),-0.015500000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.6989
EPS Growth (TTM),
Revenue Growth (MRQ),0.0079
Revenue Growth (TTM),
Return On Equity (TTM),-0.0023
Return On Assets (TTM),-0.005
Return On Investment (TTM),-0.0054
Revenue Per Employee (TTM),311681.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),9.51
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-23 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-11-23 00:00:00
newConstructs since,
marketEdge opinion since,
