,MQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),5.07,19.35,Valuation,0.262015503875969
Price/Book (MRQ),2.36,19.03,Valuation,0.12401471361008932
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.4411,0.44520000000000004,Profitability,0.9907906558849954
Operating Profit Margin (TTM),-0.2927,0.3027,Profitability,-0.9669639907499173
Net Profit Margin (TTM),-0.27899999999999997,0.23600000000000002,Profitability,-1.1822033898305082
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.18050000000000002,-3.5570999999999997,Gowth rates,0.05074358325602318
EPS Growth (TTM),-0.36700000000000005,0.15560000000000002,Gowth rates,-2.3586118251928023
Revenue Growth (MRQ),0.0265,0.16460000000000002,Gowth rates,0.16099635479951394
Revenue Growth (TTM),0.5553,0.2273,Gowth rates,2.4430268367795867
Return On Equity (TTM),-0.1266,0.5459,Effectiveness,-0.23191060633815713
Return On Assets (TTM),-0.10980000000000001,0.1131,Effectiveness,-0.9708222811671088
Return On Investment (TTM),-0.1252,0.189,Effectiveness,-0.6624338624338625
Revenue Per Employee (TTM),886965.0,686063.0,Effectiveness,1.2928331654673113
Total Debt/Total Capital (MRQ),0.0,0.5613,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0048,Financial strength,
Quick Ratio (MRQ),6.94,0.16,Financial strength,43.375
Interest Coverage (MRQ),,27.21,Financial strength,
