,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,37.9,18.13,,,,,
low,15.11,6.05,,,,,
change,-0.4717,-0.6252000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,1248.0,1197.0,1220.0,1205.0,Balance Sheet
Short Term Investments,,,453.0,447.0,445.0,441.0,Balance Sheet
Cash and Short Term Invs,,,1700.0,1644.0,1665.0,1646.0,Balance Sheet
"Trade Accts Recvble, Net",,,14.0,10.0,9.0,13.0,Balance Sheet
Other Receivables,,,42.0,55.0,24.0,37.0,Balance Sheet
"Total Receivables, Net",,,56.0,64.0,32.0,51.0,Balance Sheet
Total Inventory,,,,5.0,5.0,6.0,Balance Sheet
Prepaid Expenses,,,35.0,34.0,27.0,25.0,Balance Sheet
Restricted Cash - Current,,,8.0,8.0,8.0,8.0,Balance Sheet
Other Current Assets,,,,4.0,6.0,7.0,Balance Sheet
"Other Curr. Assets, Total",,,8.0,12.0,13.0,15.0,Balance Sheet
Total Current Assets,,,1799.0,1760.0,1743.0,1743.0,Balance Sheet
Buildings,,,8.0,8.0,8.0,8.0,Balance Sheet
Machinery/Equipment,,,12.0,12.0,12.0,12.0,Balance Sheet
Other Prop./Plant/Equip.,,,14.0,13.0,13.0,12.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,33.0,33.0,33.0,32.0,Balance Sheet
Accumulated Depreciation,,,-12.0,-13.0,-14.0,-15.0,Balance Sheet
Prop./Plant/Equip. - Net,,,21.0,20.0,19.0,18.0,Balance Sheet
Long Term Investments,,,8.0,8.0,8.0,8.0,Balance Sheet
Note Rcvble - Long Term,,,,1.0,1.0,1.0,Balance Sheet
Other Long Term Assets,,,2.0,5.0,6.0,5.0,Balance Sheet
Total Assets,,,1830.0,1793.0,1777.0,1774.0,Balance Sheet
Accounts Payable,,,3.0,2.0,1.0,3.0,Balance Sheet
Accrued Expenses,,,95.0,83.0,94.0,110.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,19.0,19.0,17.0,21.0,Balance Sheet
Other Payables,,,121.0,130.0,117.0,116.0,Balance Sheet
"Other Curr. Lblts, Total",,,140.0,149.0,134.0,137.0,Balance Sheet
Total Current Liabilities,,,238.0,234.0,229.0,250.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,19.0,16.0,14.0,12.0,Balance Sheet
Total Liabilities,,,257.0,250.0,242.0,262.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,,,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1993.0,2030.0,2067.0,2099.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-417.0,-478.0,-523.0,-576.0,Balance Sheet
"Other Equity, Total",,,-2.0,-8.0,-10.0,-11.0,Balance Sheet
Total Equity,,,1573.0,1544.0,1535.0,1512.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1830.0,1793.0,1777.0,1774.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,422.0,431.0,443.0,493.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,120.0,112.0,103.0,55.0,Balance Sheet
Ttl Comm. Shares Outs.,,,541.0,544.0,546.0,548.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,155414.0,166102.0,186678.0,191621.0,Income Statement
"Cost of Revenue, Total",,,79615.0,91376.0,108629.0,111519.0,Income Statement
Selling/Gen/Admin Expense,,,1097.0,5885.0,6942.0,7745.0,Income Statement
Labor & Related Expense,,,96854.0,100348.0,97868.0,105887.0,Income Statement
Advertising Expense,,,804.0,559.0,886.0,688.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,98755.0,106792.0,105696.0,114320.0,Income Statement
Depreciation/Amortization,,,967.0,979.0,921.0,935.0,Income Statement
Unusual Expense (Income),,,,11600.0,,,Income Statement
"Other Operat Expse, Total",,,13807.0,16227.0,18149.0,24343.0,Income Statement
Total Operating Expense,,,193144.0,226974.0,233395.0,251117.0,Income Statement
Total Operating Income,,,-37730.0,-60872.0,-46717.0,-59496.0,Income Statement
"Other, Net",,,142.0,-77.0,1802.0,6333.0,Income Statement
Income Before Tax,,,-37588.0,-60949.0,-44915.0,-53163.0,Income Statement
Income Tax - Total,,,-781.0,-351.0,-227.0,5.0,Income Statement
Income After Tax,,,-36807.0,-60598.0,-44688.0,-53168.0,Income Statement
