,MQ
% Above Low,0.076
% Held by Institutions,0.6686
52-Wk Range,['6.05 - 22.61']
Annual Dividend $,
Annual Dividend %,
Ask,6.8
Ask Size,500.0
Ask close,7.95
B/A Ratio,0.6
B/A Size,300x500
Beta,
Bid,6.4
Bid Size,300.0
Bid close,5.03
Change Since Close,0.14| |(2.15%)
Closing Price,6.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.902
Last (size),100.0
Last (time),1:00p ET 11/25/22
Last Trade,6.65
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.51
Short Interest,0.0345
Today's Open,
Volume,551.0
Volume 10-day Avg,5958427.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.02499999999999991
Growth 2yr High Est,-0.7407407407407407
Growth 2yr Consensus Est,-0.3578703703703704
Growth 5yr Low Est,0.02499999999999991
Growth 5yr High Est,-0.7407407407407407
Growth 5yr Consensus Est,-0.3578703703703704
Growth 5yr Actual/Est,3.234210526315789
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),5.07079
Price/Book (MRQ),2.35832
Price/Cash Flow (TTM),
5yr Low,6.05
5yr High,37.9
5yr Avg Return,-0.54845
Short Int Current Month,15536657.0
Short Int Prev Month,18682257.0
Short Int Pct of Float,0.034512299999999996
Days to Cover,2.08838
Float,471.0281
Shares Outstanding,545.1026
Institutions Holding Shares,325.0
FCF Growth 5yr,-0.7226851851851851
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4411
Operating Profit Margin (TTM),-0.2927
Net Profit Margin (TTM),-0.27899999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.18050000000000002
EPS Growth (TTM),-0.36700000000000005
Revenue Growth (MRQ),0.0265
Revenue Growth (TTM),0.5553
Return On Equity (TTM),-0.1266
Return On Assets (TTM),-0.10980000000000001
Return On Investment (TTM),-0.1252
Revenue Per Employee (TTM),886965.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.94
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-19 00:00:00
theStreet since,2022-08-19 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
