,HII
% Below High,0.11410000000000001
% Held by Institutions,0.8674
52-Wk Range,['175.50 - 260.02']
Annual Dividend $,4.96
Annual Dividend %,0.0215
Ask,260.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,202.14
Bid Size,100.0
Closing Price,230.36
Day Change $,2.78
Day Change %,0.012199999999999999
Day High,230.46
Day Low,228.49
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",14.36
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.268
Last (size),1000.0
Last (time),5:00p ET 11/25/22
Market Cap,9.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",16.04
Prev Close,227.58
Short Interest,0.021
Today's Open,229.36
Volume,115087.0
Volume 10-day Avg,561411.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.07110438729198187
Growth 1yr High Est,0.10465116279069764
Growth 1yr Consensus Est,0.08787777504133976
Growth 2yr Low Est,0.04120191116011529
Growth 2yr High Est,0.07239137086903302
Growth 2yr Consensus Est,0.056796641014574156
Growth 5yr Low Est,0.013615661462410611
Growth 5yr High Est,0.031035543085762035
Growth 5yr Consensus Est,0.022325602274086323
Growth 5yr Actual/Est,0.03227611972981176
Growth 3yr Historic,0.0027607801395402864
Price/Earnings (TTM),16.04405
Price/Sales (TTM),0.87204
Price/Book (MRQ),3.01554
Price/Cash Flow (TTM),9.86285
5yr Low,136.44
5yr High,279.71
5yr Avg Return,0.02223333333333333
EPS Growth 5yr,0.021448000000000002
Revenue Growth 5yr,0.0614623
Dividend Growth 5yr,0.1697895
Short Int Current Month,817077.0
Short Int Prev Month,665710.0
Short Int Pct of Float,0.0210277
Days to Cover,1.6301
Float,38.98889
Shares Outstanding,39.90354
Institutions Holding Shares,730.0
FCF Growth 5yr,-1.371743883939006
"Price/Earnings (TTM, GAAP)",16.04
"PEG Ratio (TTM, GAAP)",1.47
Gross Profit Margin (TTM),0.1398
Operating Profit Margin (TTM),0.055
Net Profit Margin (TTM),0.0546
Annual Dividend Yield,0.0215
Dividend Change %,0.08750000000000001
"Dividend Growth Rate, 3 Years",0.1506
EPS Growth (MRQ),-0.22469999999999998
EPS Growth (TTM),-0.1383
Revenue Growth (MRQ),-0.013500000000000002
Revenue Growth (TTM),0.0976
Return On Equity (TTM),0.22
Return On Assets (TTM),0.05480000000000001
Return On Investment (TTM),0.0735
Revenue Per Employee (TTM),239568.0
Total Debt/Total Capital (MRQ),0.4964
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),8.43
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-03-04 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-11 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
