,PI
% Below High,0.0212
% Held by Institutions,0.9887999999999999
52-Wk Range,['39.74 - 124.52']
Annual Dividend $,
Annual Dividend %,
Ask,121.89
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,121.37
Bid Size,100.0
Day Change $,-0.0752
Day Change %,-0.0006
Day High,123.67
Day Low,121.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.77
Ex-dividend Date,No dividend
Historical Volatility,0.7490000000000001
Last (size),11.0
Last (time),10:48a ET 11/28/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,121.96
Price,121.88
Short Interest,0.0839
Today's Open,121.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-2.333333333333333
Growth 1yr High Est,-2.672727272727273
Growth 1yr Consensus Est,-2.503030303030303
Growth 2yr Low Est,-1.024621212121212
Growth 2yr High Est,-1.0102766798418972
Growth 2yr Consensus Est,-1.0174489459815546
Growth 5yr Low Est,-17.262310606060606
Growth 5yr High Est,-7.630138339920949
Growth 5yr Consensus Est,-12.446224472990776
Growth 5yr Actual/Est,-3.3477182539682544
Growth 3yr Historic,-4.111607142857143
Price/Earnings (TTM),
Price/Sales (TTM),13.51929
Price/Book (MRQ),1531.216
Price/Cash Flow (TTM),
5yr Low,9.95
5yr High,124.52
5yr Avg Return,0.39905
EPS Growth 5yr,
Revenue Growth 5yr,0.11125600000000001
Dividend Growth 5yr,
Short Int Current Month,2084559.0
Short Int Prev Month,2173626.0
Short Int Pct of Float,0.0839015
Days to Cover,4.31794
Float,24.84532
Shares Outstanding,25.915
Institutions Holding Shares,259.0
FCF Growth 5yr,-0.20226771722991058
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5428000000000001
Operating Profit Margin (TTM),-0.1164
Net Profit Margin (TTM),-0.18910000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8115000000000001
EPS Growth (TTM),0.10310000000000001
Revenue Growth (MRQ),0.1417
Revenue Growth (TTM),0.34240000000000004
Return On Equity (TTM),-0.9678
Return On Assets (TTM),-0.1642
Return On Investment (TTM),-0.2225
Revenue Per Employee (TTM),704169.0
Total Debt/Total Capital (MRQ),0.9927
Change in Debt/Total Capital Quarter over Quarter,0.0113
Quick Ratio (MRQ),6.78
Interest Coverage (MRQ),-1.45
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2019-09-16 00:00:00
theStreet since,2020-01-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
