,CE
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.15068493150684936
Growth 1yr High Est,-0.10512129380053903
Growth 1yr Consensus Est,-0.1279031126536942
Growth 2yr Low Est,-0.1882456915598763
Growth 2yr High Est,-0.10527149027376353
Growth 2yr Consensus Est,-0.14675859091681992
Growth 5yr Low Est,0.14646855206952417
Growth 5yr High Est,0.17057854057740393
Growth 5yr Consensus Est,0.15852354632346405
Growth 5yr Actual/Est,0.22001856709532686
Growth 3yr Historic,0.2933516643501097
