,CE
% Above Low,0.20690000000000003
% Held by Institutions,0.9495
52-Wk Range,['86.71 - 176.50']
Annual Dividend $,2.8
Annual Dividend %,0.0268
Ask,107.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,104.6
Bid Size,100.0
Closing Price,104.64
Day Change $,0.42
Day Change %,0.004
Day High,105.82
Day Low,103.84
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",15.19
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.39799999999999996
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,11.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.89
Prev Close,104.22
Short Interest,0.0207
Today's Open,104.03
Volume,301669.0
Volume 10-day Avg,1144269.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.15068493150684936
Growth 1yr High Est,-0.10512129380053903
Growth 1yr Consensus Est,-0.1279031126536942
Growth 2yr Low Est,-0.1882456915598763
Growth 2yr High Est,-0.10527149027376353
Growth 2yr Consensus Est,-0.14675859091681992
Growth 5yr Low Est,0.14646855206952417
Growth 5yr High Est,0.17057854057740393
Growth 5yr Consensus Est,0.15852354632346405
Growth 5yr Actual/Est,0.22001856709532686
Growth 3yr Historic,0.2933516643501097
Price/Earnings (TTM),6.88825
Price/Sales (TTM),1.18187
Price/Book (MRQ),2.29123
Price/Cash Flow (TTM),5.43387
5yr Low,52.7
5yr High,176.5
5yr Avg Return,0.030333333333333337
EPS Growth 5yr,0.22467289999999998
Revenue Growth 5yr,0.09637570000000001
Dividend Growth 5yr,0.1453493
Short Int Current Month,2234339.0
Short Int Prev Month,1988711.0
Short Int Pct of Float,0.0206711
Days to Cover,1.40373
Float,108.1137
Shares Outstanding,108.4281
Institutions Holding Shares,890.0
FCF Growth 5yr,0.6025830082033798
"Price/Earnings (TTM, GAAP)",6.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.28300000000000003
Operating Profit Margin (TTM),0.1916
Net Profit Margin (TTM),0.174
Annual Dividend Yield,0.0268
Dividend Change %,0.0968
"Dividend Growth Rate, 3 Years",0.0935
EPS Growth (MRQ),-0.5634
EPS Growth (TTM),-0.38689999999999997
Revenue Growth (MRQ),-0.07440000000000001
Revenue Growth (TTM),0.2225
Return On Equity (TTM),0.37479999999999997
Return On Assets (TTM),0.1015
Return On Investment (TTM),0.12090000000000001
Revenue Per Employee (TTM),1125572.0
Total Debt/Total Capital (MRQ),0.6997
Change in Debt/Total Capital Quarter over Quarter,0.0075
Quick Ratio (MRQ),4.11
Interest Coverage (MRQ),17.21
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-26 00:00:00
cfra since,2022-11-04 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-26 00:00:00
