,BOKF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.08,11.43,Valuation,1.3193350831146107
Price/Sales (TTM),4.02,3.3,Valuation,1.218181818181818
Price/Book (MRQ),1.55,1.46,Valuation,1.0616438356164384
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.34259999999999996,0.34240000000000004,Profitability,1.0005841121495325
Net Profit Margin (TTM),0.2697,0.2812,Profitability,0.959103840682788
Annual Dividend Yield,0.020800000000000003,0.028700000000000003,Dividend,0.7247386759581882
Dividend Change %,0.0195,-0.0086,Dividend,-2.2674418604651163
"Dividend Growth Rate, 3 Years",0.0323,0.0734,Dividend,0.44005449591280654
EPS Growth (MRQ),0.1857,-0.0335,Gowth rates,-5.543283582089552
EPS Growth (TTM),-0.2697,-0.09960000000000001,Gowth rates,2.7078313253012047
Revenue Growth (MRQ),0.23420000000000002,0.5429,Gowth rates,0.4313869957634924
Revenue Growth (TTM),0.0217,0.2466,Gowth rates,0.08799675587996755
Return On Equity (TTM),0.0941,0.1135,Effectiveness,0.8290748898678414
Return On Assets (TTM),0.010400000000000001,0.0099,Effectiveness,1.0505050505050506
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0009,Financial strength,-1.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
