,COUP
% Above Low,0.5558
% Held by Institutions,0.9765
52-Wk Range,['40.30 - 205.00']
Annual Dividend $,
Annual Dividend %,
Ask,64.2
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,63.91
Bid Size,100.0
Closing Price,62.69
Day Change $,3.76
Day Change %,0.0638
Day High,64.42
Day Low,58.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.59
Ex-dividend Date,No dividend
Historical Volatility,0.8470000000000001
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,58.93
Short Interest,0.0965
Today's Open,59.76
Volume,7989303.0
Volume 10-day Avg,3854427.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-12 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.17948717948717952
Growth 2yr High Est,0.6065573770491803
Growth 2yr Consensus Est,0.2135350987810004
Growth 5yr Low Est,-0.17948717948717952
Growth 5yr High Est,0.6065573770491803
Growth 5yr Consensus Est,0.2135350987810004
Growth 5yr Actual/Est,0.1528847658365731
Growth 3yr Historic,0.1396728271728272
Price/Earnings (TTM),
Price/Sales (TTM),6.05154
Price/Book (MRQ),15.0009
Price/Cash Flow (TTM),
5yr Low,30.65
5yr High,377.04
5yr Avg Return,0.40154999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.4022557
Dividend Growth 5yr,
Short Int Current Month,7279504.0
Short Int Prev Month,6941415.0
Short Int Pct of Float,0.0965445
Days to Cover,2.93389
Float,75.39631
Shares Outstanding,75.93027
Institutions Holding Shares,511.0
FCF Growth 5yr,0.16330173330282616
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5952000000000001
Operating Profit Margin (TTM),-0.3189
Net Profit Margin (TTM),-0.4244
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0821
EPS Growth (TTM),-0.055099999999999996
Revenue Growth (MRQ),0.075
Revenue Growth (TTM),0.22390000000000002
Return On Equity (TTM),-0.5391
Return On Assets (TTM),-0.10619999999999999
Return On Investment (TTM),-0.146
Revenue Per Employee (TTM),255718.0
Total Debt/Total Capital (MRQ),0.8654000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-17.58
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-03 00:00:00
cfra since,2021-04-15 00:00:00
ford since,2022-02-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-03 00:00:00
