,COUP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.05,9.39,Valuation,0.6443024494142704
Price/Book (MRQ),15.0,12.63,Valuation,1.187648456057007
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5952000000000001,0.7206,Profitability,0.8259783513738552
Operating Profit Margin (TTM),-0.3189,0.2172,Profitability,-1.468232044198895
Net Profit Margin (TTM),-0.4244,0.1553,Profitability,-2.7327752736638766
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0821,-0.0752,Gowth rates,-1.0917553191489362
EPS Growth (TTM),-0.055099999999999996,-0.2824,Gowth rates,0.19511331444759206
Revenue Growth (MRQ),0.075,0.15560000000000002,Gowth rates,0.48200514138817474
Revenue Growth (TTM),0.22390000000000002,0.1906,Gowth rates,1.1747114375655825
Return On Equity (TTM),-0.5391,0.2189,Effectiveness,-2.462768387391503
Return On Assets (TTM),-0.10619999999999999,0.10740000000000001,Effectiveness,-0.9888268156424579
Return On Investment (TTM),-0.146,0.1387,Effectiveness,-1.0526315789473684
Revenue Per Employee (TTM),255718.0,667721.0,Effectiveness,0.3829713308402761
Total Debt/Total Capital (MRQ),0.8654000000000001,0.39659999999999995,Financial strength,2.1820474029248618
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002,0.0004,Financial strength,8.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-17.58,0.28,Financial strength,-62.78571428571427
