,CYTK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),25.97,45.03,Valuation,0.5767266266933155
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.6448,-4.7459,Profitability,0.3465728312859521
Net Profit Margin (TTM),-1.9034,-4.5467,Profitability,0.4186332944773132
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-5.5653,-0.0014000000000000002,Gowth rates,3975.214285714285
EPS Growth (TTM),-0.0054,0.027200000000000002,Gowth rates,-0.19852941176470587
Revenue Growth (MRQ),-0.9717,1.3963999999999999,Gowth rates,-0.6958607848753939
Revenue Growth (TTM),5.878500000000001,0.9747,Gowth rates,6.0310864881502
Return On Equity (TTM),-2.4213999999999998,0.1967,Effectiveness,-12.31011692933401
Return On Assets (TTM),-0.2964,0.0016,Effectiveness,-185.25
Return On Investment (TTM),-0.3232,0.0219,Effectiveness,-14.757990867579908
Revenue Per Employee (TTM),585893.0,1476201.0,Effectiveness,0.3968924286055896
Total Debt/Total Capital (MRQ),1.0269,0.4675,Financial strength,2.1965775401069516
Change in Debt/Total Capital Quarter over Quarter,0.0233,0.0036,Financial strength,6.472222222222222
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-9.33,2.69,Financial strength,-3.4684014869888475
