,CYTK
% Above Low,0.39030000000000004
% Held by Institutions,1.1198000000000001
52-Wk Range,['29.26 - 55.80']
Annual Dividend $,
Annual Dividend %,
Ask,40.75
Ask Size,100.0
B/A Ratio,22.0
B/A Size,2200x100
Beta,1.0
Bid,40.36
Bid Size,2200.0
Closing Price,40.68
Day Change $,0.17
Day Change %,0.0042
Day High,41.0
Day Low,40.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.16
Ex-dividend Date,No dividend
Historical Volatility,0.648
Last (size),39.0
Last (time),12:59p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,40.51
Short Interest,0.1209
Today's Open,40.26
Volume,295828.0
Volume 10-day Avg,761808.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,1.0
Growth 1yr High Est,1.0972972972972972
Growth 1yr Consensus Est,1.0486486486486486
Growth 2yr Low Est,0.647887323943662
Growth 2yr High Est,0.3733909166898857
Growth 2yr Consensus Est,0.5106391203167738
Growth 5yr Low Est,0.323943661971831
Growth 5yr High Est,0.18669545834494286
Growth 5yr Consensus Est,0.2553195601583869
Growth 5yr Actual/Est,0.23738645140764011
Growth 3yr Historic,0.08874227151346017
Price/Earnings (TTM),
Price/Sales (TTM),25.9702
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,5.75
5yr High,55.8
5yr Avg Return,0.4273499999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.0792218
Dividend Growth 5yr,
Short Int Current Month,10935648.0
Short Int Prev Month,11336773.0
Short Int Pct of Float,0.120886
Days to Cover,10.56039
Float,90.45659
Shares Outstanding,94.631
Institutions Holding Shares,373.0
FCF Growth 5yr,1.0649233764981587
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.6448
Net Profit Margin (TTM),-1.9034
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-5.5653
EPS Growth (TTM),-0.0054
Revenue Growth (MRQ),-0.9717
Revenue Growth (TTM),5.878500000000001
Return On Equity (TTM),-2.4213999999999998
Return On Assets (TTM),-0.2964
Return On Investment (TTM),-0.3232
Revenue Per Employee (TTM),585893.0
Total Debt/Total Capital (MRQ),1.0269
Change in Debt/Total Capital Quarter over Quarter,0.0233
Quick Ratio (MRQ),
Interest Coverage (MRQ),-9.33
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2017-04-21 00:00:00
ford since,2022-02-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2017-10-30 00:00:00
marketEdge opinion since,
