,CTOS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",407.1,17.46,Valuation,23.31615120274914
Price/Sales (TTM),1.18,2.11,Valuation,0.5592417061611374
Price/Book (MRQ),1.97,6.17,Valuation,0.3192868719611021
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.231,0.42710000000000004,Profitability,0.5408569421681105
Operating Profit Margin (TTM),0.0426,0.14730000000000001,Profitability,0.2892057026476578
Net Profit Margin (TTM),0.0029,0.0835,Profitability,0.03473053892215568
Annual Dividend Yield,,0.0125,Dividend,
Dividend Change %,,0.053099999999999994,Dividend,
"Dividend Growth Rate, 3 Years",,0.0517,Dividend,
EPS Growth (MRQ),-1.1755,0.4814,Gowth rates,-2.4418363107602827
EPS Growth (TTM),1.0126000000000002,0.5656,Gowth rates,1.7903111739745405
Revenue Growth (MRQ),-0.011899999999999999,0.1985,Gowth rates,-0.059949622166246844
Revenue Growth (TTM),0.6139,0.2242,Gowth rates,2.738180196253345
Return On Equity (TTM),0.0049,0.3129,Effectiveness,0.015659955257270694
Return On Assets (TTM),0.0015,0.1319,Effectiveness,0.011372251705837756
Return On Investment (TTM),0.0019,0.17420000000000002,Effectiveness,0.010907003444316875
Revenue Per Employee (TTM),801556.0,1897425.0,Effectiveness,0.42244410187490944
Total Debt/Total Capital (MRQ),0.6138,0.4449,Financial strength,1.3796358732299392
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0005,Financial strength,-0.8
Quick Ratio (MRQ),0.44,1.09,Financial strength,0.40366972477064217
Interest Coverage (MRQ),1.29,26.1,Financial strength,0.04942528735632184
