,CTOS
% Above Low,0.5171
% Held by Institutions,0.9274
52-Wk Range,['4.54 - 9.40']
Annual Dividend $,
Annual Dividend %,
Ask,8.2
Ask Size,1800.0
B/A Ratio,0.16666666666666666
B/A Size,300x1800
Beta,0.6
Bid,5.95
Bid Size,300.0
Closing Price,6.88
Day Change $,0.09
Day Change %,0.013300000000000001
Day High,6.95
Day Low,6.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",407.1
Prev Close,6.79
Short Interest,0.0325
Today's Open,6.76
Volume,39709.0
Volume 10-day Avg,332246.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-1.2549019607843137
Growth 1yr High Est,-1.5161290322580645
Growth 1yr Consensus Est,-1.385515496521189
Growth 2yr Low Est,-0.473604826546003
Growth 2yr High Est,-0.19556451612903225
Growth 2yr Consensus Est,-0.3345846713375176
Growth 5yr Low Est,-0.31573655103066867
Growth 5yr High Est,-0.1303763440860215
Growth 5yr Consensus Est,-0.22305644755834508
Growth 5yr Actual/Est,-0.049522594063149905
Growth 3yr Historic,0.06714407260351674
Price/Earnings (TTM),407.1006
Price/Sales (TTM),1.17587
Price/Book (MRQ),1.97287
Price/Cash Flow (TTM),7.11392
5yr Low,1.38
5yr High,11.36
5yr Avg Return,0.03091666666666665
Short Int Current Month,1906851.0
Short Int Prev Month,2084778.0
Short Int Pct of Float,0.032531500000000005
Days to Cover,4.24297
Float,207.2249
Shares Outstanding,246.5904
Institutions Holding Shares,115.0
FCF Growth 5yr,0.6616251052341278
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",407.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.231
Operating Profit Margin (TTM),0.0426
Net Profit Margin (TTM),0.0029
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1755
EPS Growth (TTM),1.0126000000000002
Revenue Growth (MRQ),-0.011899999999999999
Revenue Growth (TTM),0.6139
Return On Equity (TTM),0.0049
Return On Assets (TTM),0.0015
Return On Investment (TTM),0.0019
Revenue Per Employee (TTM),801556.0
Total Debt/Total Capital (MRQ),0.6138
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.44
Interest Coverage (MRQ),1.29
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-08-16 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2021-08-16 00:00:00
newConstructs since,
marketEdge opinion since,
