,CTLP
% Above Low,0.2347
% Held by Institutions,0.6945
52-Wk Range,['2.77 - 9.46']
Annual Dividend $,
Annual Dividend %,
Ask,4.2
Ask Size,500.0
B/A Ratio,5.0
B/A Size,2500x500
Beta,1.8
Bid,3.08
Bid Size,2500.0
Closing Price,3.42
Day Change $,0.02
Day Change %,0.0059
Day High,3.46
Day Low,3.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.14
Ex-dividend Date,No dividend
Historical Volatility,0.58
Last (size),28.0
Last (time),1:00p ET 11/25/22
Market Cap,243.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.4
Short Interest,0.0087
Today's Open,3.41
Volume,125798.0
Volume 10-day Avg,348456.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.0
Growth 1yr High Est,-4.0
Growth 1yr Consensus Est,-1.0
Growth 2yr Low Est,0.5
Growth 2yr High Est,0.0
Growth 2yr Consensus Est,0.25
Growth 5yr Low Est,0.5
Growth 5yr High Est,0.0
Growth 5yr Consensus Est,0.25
Growth 5yr Actual/Est,-1.701984126984127
Growth 3yr Historic,-0.3686507936507937
Price/Earnings (TTM),
Price/Sales (TTM),1.12137
Price/Book (MRQ),1.64745
Price/Cash Flow (TTM),
5yr Low,2.77
5yr High,16.83
5yr Avg Return,0.03459999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1513249
Dividend Growth 5yr,
Short Int Current Month,569214.0
Short Int Prev Month,707121.0
Short Int Pct of Float,0.0087136
Days to Cover,1.14476
Float,65.32713
Shares Outstanding,71.21813
Institutions Holding Shares,162.0
FCF Growth 5yr,0.22870049065338063
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2923
Operating Profit Margin (TTM),-0.046200000000000005
Net Profit Margin (TTM),-0.0414
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.2784
EPS Growth (TTM),-1.1645999999999999
Revenue Growth (MRQ),-0.0043
Revenue Growth (TTM),0.2352
Return On Equity (TTM),-0.0644
Return On Assets (TTM),-0.037000000000000005
Return On Investment (TTM),-0.053099999999999994
Revenue Per Employee (TTM),965351.0
Total Debt/Total Capital (MRQ),0.0876
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-12-31 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,2022-01-11 00:00:00
newConstructs since,
marketEdge opinion since,
