,PRFT
% Above Low,0.14730000000000001
% Held by Institutions,0.9375
52-Wk Range,['59.79 - 141.74']
Annual Dividend $,
Annual Dividend %,
Ask,68.63
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,68.47
Bid Size,500.0
Day Change $,-0.85
Day Change %,-0.012199999999999999
Day High,68.74
Day Low,68.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.24
Ex-dividend Date,No dividend
Historical Volatility,0.499
Last (size),2.0
Last (time),11:25a ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.93
Prev Close,69.44
Price,68.59
Short Interest,0.0373
Today's Open,68.74
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2603550295857988
Growth 1yr High Est,0.2543859649122808
Growth 1yr Consensus Est,0.2573704972490398
Growth 2yr Low Est,0.1559991110370309
Growth 2yr High Est,0.21227456753772544
Growth 2yr Consensus Est,0.18413683928737817
Growth 5yr Low Est,0.22229506045703595
Growth 5yr High Est,0.2498163506036672
Growth 5yr Consensus Est,0.23605570553035157
Growth 5yr Actual/Est,0.23860459678927776
Growth 3yr Historic,0.15193236714975844
Price/Earnings (TTM),30.93247
Price/Sales (TTM),2.71035
Price/Book (MRQ),6.13458
Price/Cash Flow (TTM),21.05124
5yr Low,18.23
5yr High,153.28
5yr Avg Return,0.41775
EPS Growth 5yr,0.20781490000000002
Revenue Growth 5yr,0.09339589999999999
Dividend Growth 5yr,
Short Int Current Month,1263975.0
Short Int Prev Month,1284110.0
Short Int Pct of Float,0.0373227
Days to Cover,5.27628
Float,33.87335
Shares Outstanding,34.62844
Institutions Holding Shares,360.0
FCF Growth 5yr,0.8837586268264648
"Price/Earnings (TTM, GAAP)",30.93
"PEG Ratio (TTM, GAAP)",1.82
Gross Profit Margin (TTM),0.3879
Operating Profit Margin (TTM),0.12380000000000001
Net Profit Margin (TTM),0.0929
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1688
EPS Growth (TTM),0.365
Revenue Growth (MRQ),0.0219
Revenue Growth (TTM),0.2516
Return On Equity (TTM),0.20420000000000002
Return On Assets (TTM),0.095
Return On Investment (TTM),0.10830000000000001
Revenue Per Employee (TTM),145944.0
Total Debt/Total Capital (MRQ),0.5063000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0075
Quick Ratio (MRQ),
Interest Coverage (MRQ),57.42
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
