,OTTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.28,21.45,Valuation,0.386013986013986
Price/Sales (TTM),1.62,3.84,Valuation,0.42187500000000006
Price/Book (MRQ),2.04,2.52,Valuation,0.8095238095238095
"PEG Ratio (TTM, GAAP)",,0.23,Valuation,
Gross Profit Margin (TTM),-0.8188,0.25170000000000003,Profitability,-3.2530790623758437
Operating Profit Margin (TTM),0.2726,0.1625,Profitability,1.6775384615384616
Net Profit Margin (TTM),0.19690000000000002,0.1169,Profitability,1.6843455945252352
Annual Dividend Yield,0.028399999999999998,0.0296,Dividend,0.9594594594594593
Dividend Change %,0.0541,0.0463,Dividend,1.1684665226781858
"Dividend Growth Rate, 3 Years",0.052000000000000005,0.0688,Dividend,0.7558139534883721
EPS Growth (MRQ),-0.020499999999999997,0.6623,Gowth rates,-0.03095274044994715
EPS Growth (TTM),1.0348000000000002,0.9514,Gowth rates,1.087660290098802
Revenue Growth (MRQ),-0.0405,0.24920000000000003,Gowth rates,-0.16252006420545745
Revenue Growth (TTM),0.3683,0.16010000000000002,Gowth rates,2.3004372267332913
Return On Equity (TTM),0.275,0.09480000000000001,Effectiveness,2.90084388185654
Return On Assets (TTM),0.10470000000000002,0.0229,Effectiveness,4.572052401746726
Return On Investment (TTM),0.12090000000000001,0.0269,Effectiveness,4.4944237918215615
Revenue Per Employee (TTM),599932.0,1731151.0,Effectiveness,0.34655093634235257
Total Debt/Total Capital (MRQ),0.4103,0.5767,Financial strength,0.7114617652158834
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0003,Financial strength,-3.6666666666666674
Quick Ratio (MRQ),1.3,0.62,Financial strength,2.096774193548387
Interest Coverage (MRQ),12.54,6.31,Financial strength,1.987321711568938
