,OTTR
% Above Low,0.08689999999999999
% Held by Institutions,0.5717
52-Wk Range,['52.60 - 82.46']
Annual Dividend $,1.65
Annual Dividend %,0.028399999999999998
Ask,57.47
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,57.16
Bid Size,200.0
Day Change $,-0.88
Day Change %,-0.0152
Day High,57.88
Day Low,57.17
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.01
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.32299999999999995
Last (size),2.0
Last (time),9:49a ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.28
Prev Close,58.05
Price,57.17
Short Interest,0.0291
Today's Open,57.88
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5755395683453239
Growth 1yr High Est,0.7009569377990432
Growth 1yr Consensus Est,0.6382482530721836
Growth 2yr Low Est,0.0625034219199983
Growth 2yr High Est,0.1704503395043036
Growth 2yr Consensus Est,0.11647688071215095
Growth 5yr Low Est,0.2499115233698115
Growth 5yr High Est,0.2979424306200339
Growth 5yr Consensus Est,0.27392697699492274
Growth 5yr Actual/Est,0.2671079355486292
Growth 3yr Historic,0.22150833037929818
Price/Earnings (TTM),8.28373
Price/Sales (TTM),1.61972
Price/Book (MRQ),2.04107
Price/Cash Flow (TTM),6.24666
5yr Low,30.95
5yr High,82.46
5yr Avg Return,0.06635
EPS Growth 5yr,0.2141996
Revenue Growth 5yr,0.0829443
Dividend Growth 5yr,0.0453047
Short Int Current Month,1187880.0
Short Int Prev Month,1299110.0
Short Int Pct of Float,0.0291054
Days to Cover,4.08905
Float,40.82916
Shares Outstanding,41.63095
Institutions Holding Shares,325.0
FCF Growth 5yr,1.7093761009207993
"Price/Earnings (TTM, GAAP)",8.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.8188
Operating Profit Margin (TTM),0.2726
Net Profit Margin (TTM),0.19690000000000002
Annual Dividend Yield,0.028399999999999998
Dividend Change %,0.0541
"Dividend Growth Rate, 3 Years",0.052000000000000005
EPS Growth (MRQ),-0.020499999999999997
EPS Growth (TTM),1.0348000000000002
Revenue Growth (MRQ),-0.0405
Revenue Growth (TTM),0.3683
Return On Equity (TTM),0.275
Return On Assets (TTM),0.10470000000000002
Return On Investment (TTM),0.12090000000000001
Revenue Per Employee (TTM),599932.0
Total Debt/Total Capital (MRQ),0.4103
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),1.3
Interest Coverage (MRQ),12.54
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2020-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
