,LPI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1.49,9.13,Valuation,0.16319824753559692
Price/Sales (TTM),0.53,7.57,Valuation,0.07001321003963012
Price/Book (MRQ),1.07,4.65,Valuation,0.23010752688172043
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.7501000000000001,0.35119999999999996,Profitability,2.135820045558087
Operating Profit Margin (TTM),0.5655,0.192,Profitability,2.9453125
Net Profit Margin (TTM),0.35990000000000005,0.0358,Profitability,10.053072625698325
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),0.3032,2.3421000000000003,Gowth rates,0.12945647068869817
EPS Growth (TTM),2.9042000000000003,7.2215,Gowth rates,0.40216021602160223
Revenue Growth (MRQ),-0.17149999999999999,0.7168000000000001,Gowth rates,-0.23925781249999994
Revenue Growth (TTM),0.8229000000000001,47.807,Gowth rates,0.0172129604451231
Return On Equity (TTM),1.1914,0.3993,Effectiveness,2.983721512647133
Return On Assets (TTM),0.28809999999999997,0.15810000000000002,Effectiveness,1.822264389626818
Return On Investment (TTM),0.3682,0.2237,Effectiveness,1.6459544032185964
Revenue Per Employee (TTM),7424502.0,7554984.0,Effectiveness,0.9827290170303471
Total Debt/Total Capital (MRQ),0.5415,0.3658,Financial strength,1.480317113176599
Change in Debt/Total Capital Quarter over Quarter,-0.003,-0.002,Financial strength,1.5
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),,13.28,Financial strength,
