,PRGO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),1.01,18.11,Valuation,0.05577029265599117
Price/Book (MRQ),0.96,11.51,Valuation,0.08340573414422241
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.3261,0.6773,Profitability,0.48147054481027607
Operating Profit Margin (TTM),0.0195,-0.8239000000000001,Profitability,-0.023667920864182544
Net Profit Margin (TTM),-0.0196,-0.8640000000000001,Profitability,0.022685185185185183
Annual Dividend Yield,0.0316,0.0217,Dividend,1.4562211981566822
Dividend Change %,0.0667,0.0947,Dividend,0.7043294614572333
"Dividend Growth Rate, 3 Years",0.081,0.084,Dividend,0.9642857142857143
EPS Growth (MRQ),0.1972,0.0883,Gowth rates,2.233295583238958
EPS Growth (TTM),0.6017,0.5870000000000001,Gowth rates,1.0250425894378192
Revenue Growth (MRQ),-0.0192,0.0441,Gowth rates,-0.43537414965986393
Revenue Growth (TTM),0.07690000000000001,0.1761,Gowth rates,0.4366837024417945
Return On Equity (TTM),-0.0176,0.30160000000000003,Effectiveness,-0.05835543766578249
Return On Assets (TTM),-0.008,0.092,Effectiveness,-0.08695652173913043
Return On Investment (TTM),-0.009300000000000001,0.13820000000000002,Effectiveness,-0.06729377713458755
Revenue Per Employee (TTM),444576.0,1425813.0,Effectiveness,0.31180526478577486
Total Debt/Total Capital (MRQ),0.4718,0.4169,Financial strength,1.1316862556968097
Change in Debt/Total Capital Quarter over Quarter,0.0018,0.0,Financial strength,inf
Quick Ratio (MRQ),1.48,1.22,Financial strength,1.2131147540983607
Interest Coverage (MRQ),1.26,26.08,Financial strength,0.04831288343558283
