,PRGO
% Above Low,0.0236
% Held by Institutions,0.958
52-Wk Range,['31.32 - 43.90']
Annual Dividend $,1.04
Annual Dividend %,0.0316
Ask,32.06
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.9
Bid,32.04
Bid Size,200.0
Day Change $,-0.89
Day Change %,-0.027000000000000003
Day High,32.9
Day Low,32.02
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",-0.64
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.319
Last (size),100.0
Last (time),11:29a ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,32.95
Price,32.06
Short Interest,0.0346
Today's Open,32.75
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.10439560439560425
Growth 1yr High Est,-0.028846153846153855
Growth 1yr Consensus Est,0.037774725274725196
Growth 2yr Low Est,0.22632715543163306
Growth 2yr High Est,0.31478484386900224
Growth 2yr Consensus Est,0.2705559996503176
Growth 5yr Low Est,-0.012554628819862967
Growth 5yr High Est,0.035742407241583146
Growth 5yr Consensus Est,0.01159388921086009
Growth 5yr Actual/Est,-0.010368013503692042
Growth 3yr Historic,-0.11813740694789082
Price/Earnings (TTM),
Price/Sales (TTM),1.00797
Price/Book (MRQ),0.96358
Price/Cash Flow (TTM),19.39825
5yr Low,31.32
5yr High,95.93
5yr Avg Return,-0.10926666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0475633
Dividend Growth 5yr,0.10603440000000001
Short Int Current Month,4608717.0
Short Int Prev Month,3929513.0
Short Int Pct of Float,0.0345902
Days to Cover,1.83429
Float,133.2914
Shares Outstanding,134.6398
Institutions Holding Shares,434.0
FCF Growth 5yr,3.27897236978947
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3261
Operating Profit Margin (TTM),0.0195
Net Profit Margin (TTM),-0.0196
Annual Dividend Yield,0.0316
Dividend Change %,0.0667
"Dividend Growth Rate, 3 Years",0.081
EPS Growth (MRQ),0.1972
EPS Growth (TTM),0.6017
Revenue Growth (MRQ),-0.0192
Revenue Growth (TTM),0.07690000000000001
Return On Equity (TTM),-0.0176
Return On Assets (TTM),-0.008
Return On Investment (TTM),-0.009300000000000001
Revenue Per Employee (TTM),444576.0
Total Debt/Total Capital (MRQ),0.4718
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),1.48
Interest Coverage (MRQ),1.26
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-09-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
