,ONEM
% Below High,0.08810000000000001
% Held by Institutions,0.7706000000000001
52-Wk Range,['5.94 - 18.46']
Annual Dividend $,
Annual Dividend %,
Ask,16.9
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,
Bid,16.82
Bid Size,100.0
Closing Price,16.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.02
Ex-dividend Date,No dividend
Historical Volatility,0.9400000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.83
Short Interest,0.0634
Today's Open,
Volume,378999.0
Volume 10-day Avg,2483068.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.14054054054054044
Growth 1yr High Est,0.7543859649122808
Growth 1yr Consensus Est,0.44746325272641063
Growth 2yr Low Est,0.07500960676316126
Growth 2yr High Est,0.2621929824561404
Growth 2yr Consensus Est,0.16860129460965084
Growth 5yr Low Est,0.07500960676316126
Growth 5yr High Est,0.2621929824561404
Growth 5yr Consensus Est,0.16860129460965084
Growth 5yr Actual/Est,0.15323657391503492
Growth 3yr Historic,0.11268779342723001
Price/Earnings (TTM),
Price/Sales (TTM),3.43398
Price/Book (MRQ),2.12181
Price/Cash Flow (TTM),
5yr Low,5.94
5yr High,59.82
5yr Avg Return,0.2595
Short Int Current Month,11843373.0
Short Int Prev Month,9140056.0
Short Int Pct of Float,0.06342249999999999
Days to Cover,3.60227
Float,186.695
Shares Outstanding,204.3504
Institutions Holding Shares,279.0
FCF Growth 5yr,0.35577795126369294
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1736
Operating Profit Margin (TTM),-0.4025
Net Profit Margin (TTM),-0.3915
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.18739999999999998
EPS Growth (TTM),-0.7397
Revenue Growth (MRQ),0.0216
Revenue Growth (TTM),0.9518000000000001
Return On Equity (TTM),-0.2345
Return On Assets (TTM),-0.15050000000000002
Return On Investment (TTM),-0.1649
Revenue Per Employee (TTM),324118.0
Total Debt/Total Capital (MRQ),0.1666
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),2.06
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-05-14 00:00:00
theStreet since,2021-05-14 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
