,ONEM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),3.43,1.32,Valuation,2.5984848484848486
Price/Book (MRQ),2.12,4.31,Valuation,0.49187935034802793
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.1736,0.1318,Profitability,1.3171471927162368
Operating Profit Margin (TTM),-0.4025,0.0458,Profitability,-8.7882096069869
Net Profit Margin (TTM),-0.3915,0.0242,Profitability,-16.177685950413224
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.18739999999999998,-0.1478,Gowth rates,1.2679296346414073
EPS Growth (TTM),-0.7397,-1.101,Gowth rates,0.6718437783832879
Revenue Growth (MRQ),0.0216,0.0931,Gowth rates,0.23200859291084855
Revenue Growth (TTM),0.9518000000000001,0.1191,Gowth rates,7.991603694374477
Return On Equity (TTM),-0.2345,7.2022,Effectiveness,-0.032559495709644275
Return On Assets (TTM),-0.15050000000000002,0.0403,Effectiveness,-3.7344913151364767
Return On Investment (TTM),-0.1649,0.016,Effectiveness,-10.306249999999999
Revenue Per Employee (TTM),324118.0,1375304.0,Effectiveness,0.2356700773065446
Total Debt/Total Capital (MRQ),0.1666,0.4855,Financial strength,0.3431513903192585
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0015,Financial strength,0.6
Quick Ratio (MRQ),2.06,0.31,Financial strength,6.645161290322581
Interest Coverage (MRQ),,9.55,Financial strength,
