,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,44.87,59.82,18.43,,,,,
low,15.0,14.91,5.94,,,,,
change,1.425,-0.6027,-0.0438,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,342.0,240.0,185.0,140.0,Balance Sheet
Short Term Investments,,,,112.0,141.0,163.0,128.0,Balance Sheet
Cash and Short Term Invs,,,,454.0,381.0,348.0,267.0,Balance Sheet
"Total Receivables, Net",,,,104.0,143.0,157.0,191.0,Balance Sheet
Total Inventory,,,,6.0,6.0,7.0,8.0,Balance Sheet
Prepaid Expenses,,,,28.0,31.0,29.0,28.0,Balance Sheet
Restricted Cash - Current,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,,,21.0,23.0,20.0,24.0,Balance Sheet
"Other Curr. Assets, Total",,,,21.0,23.0,21.0,25.0,Balance Sheet
Total Current Assets,,,,613.0,584.0,560.0,519.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,450.0,466.0,478.0,489.0,Balance Sheet
"Goodwill, Net",,,,1147.0,1145.0,1157.0,1157.0,Balance Sheet
Intangibles - Gross,,,,367.0,367.0,371.0,371.0,Balance Sheet
Accum. Intangible Amort.,,,,-15.0,-26.0,-37.0,-48.0,Balance Sheet
Intangibles - Net,,,,352.0,341.0,334.0,323.0,Balance Sheet
Long Term Investments,,,,48.0,47.0,,,Balance Sheet
Def. Inc. Tax - LT Asset,,,,0.0,,,,Balance Sheet
Restricted Cash - LT,,,,4.0,4.0,4.0,4.0,Balance Sheet
Other Long Term Assets,,,,12.0,9.0,8.0,10.0,Balance Sheet
Total Assets,,,,2627.0,2596.0,2541.0,2503.0,Balance Sheet
Accounts Payable,,,,19.0,16.0,17.0,23.0,Balance Sheet
Accrued Expenses,,,,104.0,107.0,113.0,136.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,48.0,64.0,58.0,55.0,Balance Sheet
Other Current Liabilities,,,,32.0,34.0,29.0,33.0,Balance Sheet
"Other Curr. Lblts, Total",,,,80.0,98.0,87.0,89.0,Balance Sheet
Total Current Liabilities,,,,202.0,221.0,216.0,248.0,Balance Sheet
Total Long Term Debt,,,,310.0,310.0,311.0,311.0,Balance Sheet
Total Debt,,,,310.0,310.0,311.0,311.0,Balance Sheet
Deferred Income Tax,,,,74.0,67.0,60.0,57.0,Balance Sheet
"Other Liabilities, Total",,,,313.0,322.0,329.0,330.0,Balance Sheet
Total Liabilities,,,,898.0,920.0,916.0,946.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,2347.0,2386.0,2429.0,2473.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-618.0,-709.0,-803.0,-915.0,Balance Sheet
Unrealized Gain (Loss),,,,0.0,-1.0,-2.0,-1.0,Balance Sheet
Total Equity,,,,1729.0,1676.0,1624.0,1556.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,2627.0,2596.0,2541.0,2503.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,192.0,193.0,195.0,196.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,230214.0,254102.0,255839.0,261369.0,Income Statement
"Cost of Revenue, Total",,,,192640.0,206343.0,215848.0,212870.0,Income Statement
Selling/Gen/Admin Expense,,,,81767.0,82576.0,83279.0,103967.0,Income Statement
Labor & Related Expense,,,,31104.0,36919.0,32336.0,38496.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,112871.0,119495.0,115615.0,142463.0,Income Statement
Depreciation/Amortization,,,,20552.0,20893.0,21783.0,23314.0,Income Statement
Unusual Expense (Income),,,,0.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,326063.0,346731.0,353246.0,378647.0,Income Statement
Total Operating Income,,,,-95849.0,-92629.0,-97407.0,-117278.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-3608.0,-5119.0,-3682.0,,Income Statement
"Inter/Invest Inc, Non-Oper",,,,79.0,157.0,364.0,630.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,76.0,Income Statement
"Other, Net",,,,0.0,,,,Income Statement
Income Before Tax,,,,-99378.0,-97591.0,-100725.0,-116572.0,Income Statement
Income Tax - Total,,,,-3945.0,-6732.0,-6916.0,-4535.0,Income Statement
Income After Tax,,,,-95433.0,-90859.0,-93809.0,-112037.0,Income Statement
Minority Interest,,,,0.0,,,,Income Statement
Net Inc Before Extra Items,,,,-95433.0,-90859.0,-93809.0,-112037.0,Income Statement
Total Net Income,,,,-95433.0,-90859.0,-93809.0,-112037.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-95433.0,-90859.0,-93809.0,-112037.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-95433.0,-90859.0,-93809.0,-112037.0,Income Statement
Basic/Primary Weighted Average Shares,,,,192402.0,193019.0,194488.0,195624.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.5,-0.47,-0.48,-0.57,Income Statement
