,WH
% Above Low,0.2169
% Held by Institutions,0.9322
52-Wk Range,['58.82 - 93.86']
Annual Dividend $,1.28
Annual Dividend %,0.0175
Ask,73.49
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.5
Bid,71.17
Bid Size,100.0
Closing Price,71.57
Day Change $,-1.74
Day Change %,-0.023700000000000002
Day High,73.37
Day Low,71.49
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",3.78
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.369
Last (size),5500.0
Last (time),7:00p ET 11/28/22
Market Cap,6.3B
"P/E Ratio (TTM, GAAP)",19.39
Prev Close,73.31
Short Interest,0.0334
Today's Open,72.9
Volume,664246.0
Volume 10-day Avg,628568.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2542372881355932
Growth 1yr High Est,0.2703583061889252
Growth 1yr Consensus Est,0.2622977971622592
Growth 2yr Low Est,0.13792945487860742
Growth 2yr High Est,0.1928714607867703
Growth 2yr Consensus Est,0.16540045783268886
Growth 5yr Low Est,0.4043514051706242
Growth 5yr High Est,0.341324411452279
Growth 5yr Consensus Est,0.3728379083114516
Growth 5yr Actual/Est,0.40852655485960665
Growth 3yr Historic,0.3454963888231115
Price/Earnings (TTM),19.38623
Price/Sales (TTM),4.16134
Price/Book (MRQ),6.12999
Price/Cash Flow (TTM),14.98854
5yr Low,14.5
5yr High,93.86
5yr Avg Return,0.07094000000000002
EPS Growth 5yr,0.08582649999999999
Revenue Growth 5yr,0.0358959
Dividend Growth 5yr,
Short Int Current Month,2903338.0
Short Int Prev Month,2767618.0
Short Int Pct of Float,0.0334062
Days to Cover,2.84499
Float,86.94361
Shares Outstanding,88.32424
Institutions Holding Shares,529.0
FCF Growth 5yr,0.18212415840372134
"Price/Earnings (TTM, GAAP)",19.39
"PEG Ratio (TTM, GAAP)",2.13
Gross Profit Margin (TTM),0.5476
Operating Profit Margin (TTM),0.35409999999999997
Net Profit Margin (TTM),0.2237
Annual Dividend Yield,0.0175
Dividend Change %,0.5714
"Dividend Growth Rate, 3 Years",0.0547
EPS Growth (MRQ),0.1247
EPS Growth (TTM),0.8925000000000001
Revenue Growth (MRQ),0.054400000000000004
Revenue Growth (TTM),0.0599
Return On Equity (TTM),0.3194
Return On Assets (TTM),0.0817
Return On Investment (TTM),0.0898
Revenue Per Employee (TTM),194500.0
Total Debt/Total Capital (MRQ),0.6631
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.67
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-07-15 00:00:00
theStreet since,2022-11-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-15 00:00:00
cfra since,
marketEdge opinion since,
