,CNXN
Price/Earnings (TTM),15.82127
Price/Sales (TTM),0.45755
Price/Book (MRQ),2.13583
Price/Cash Flow (TTM),13.9343
5yr Low,22.66
5yr High,56.64
5yr Avg Return,0.1533
EPS Growth 5yr,0.08047750000000001
Revenue Growth 5yr,0.0144331
Dividend Growth 5yr,
Short Int Current Month,304615.0
Short Int Prev Month,294188.0
Short Int Pct of Float,0.0486116
Days to Cover,7.01716
Float,11.26858
Shares Outstanding,26.28836
Institutions Holding Shares,204.0
% Held by Institutions,0.427806
FCF Growth 5yr,-1.4042326452221323
